group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,distance_residual_cm,distance_weight,angle_residual_deg,angle_weight,yaw_residual_deg,yaw_weight
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,37,front,-0.3496936066848644,1.0,-1.497373126010558,0.5,-1.2161231260105012,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,38,front,-1.2874532082629564,1.0,-2.8320770769294086,0.5,-4.950827076929386,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,39,front,-0.6107915454126367,1.0,3.7961197640154296,0.5,-7.722630235984582,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,46,rear,-0.2064417335023272,0.5,4.90607901057956,0.2,-9.412670989420462,0.01
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,40,front,-1.499556814821723,1.0,-0.8712775767563699,0.5,-96.32127757675639,0.0
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,41,front,0.49584414479539873,1.0,-0.6569806650029761,0.5,-2.206980665002959,0.05
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,42,front,1.251711027905822,1.0,-2.1217250437624386,0.5,17.62827495623756,0.0125
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,43,front,-2.0578255474005935,1.0,7.873971995551926,0.25,-10.27602800444808,0.0125
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,37,rear,-4.717239170194176,0.5,4.310936278955211,0.2,-17.607813721044806,0.0025
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,38,rear,-3.142654565588421,0.5,2.314332978617358,0.2,7.795582978617347,0.01
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,44,front,1.0471565704273988,1.0,-1.3741946779366288,0.5,-4.992944677936634,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,45,front,-0.38352740695790644,1.0,-1.203787323766221,0.5,0.2774626762337675,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,46,front,-2.2628727303714236,1.0,-2.9893093069624967,0.5,-17.80805930696249,0.0125
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,47,front,0.8342895997163868,1.0,-3.0421561123982315,0.5,-3.860906112398254,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,48,front,-3.815909724966371,1.0,1.8167650927006207,0.5,-9.601984907299396,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,49,front,-0.0938697967714397,1.0,8.635125183085506,0.25,-10.4836248169145,0.0125
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,36,front,-1.8888215618702464,1.0,0.6004657062030105,0.5,-7.330784293796967,0.05
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,40,rear,5.521804777671768,0.5,7.146398585035712,0.1,-7.884851414964288,0.01
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,41,rear,3.4829014003455727,0.5,6.513159464367334,0.1,12.081909464367328,0.0025
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,56,front,12.872798352837478,0.5,-1.6830400894979505,0.5,-3.2142900894979505,0.05
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,57,front,-0.15890665956215244,1.0,-2.0105140005571798,0.5,11.858235999442826,0.0125
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,3.2,3.85,110.0,38,front,-20.047367321292953,0.25,-15.496781927829545,0.125,0.4032180721705174,0.05
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9937500000000004,4.01875,179.0625,39,front,1.209157354162893,1.0,-1.195149182323462,0.5,-7.432649182323416,0.05
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9937500000000004,4.01875,179.0625,40,front,-2.0124374646734777,1.0,-0.932173209005299,0.5,-47.269673209005305,0.0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9937500000000004,4.01875,179.0625,41,front,1.0104861458442027,1.0,-1.9456627029193214,0.5,-4.383162702919321,0.05
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9937500000000004,4.01875,179.0625,42,front,-1.285229422560752,1.0,7.5908647851259445,0.25,-10.746635214874061,0.0125
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,38,rear,-12.730756540710164,0.25,15.38194046334587,0.1,21.25694046334587,0.0025
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,45,front,5.746930334650813,1.0,-0.7105860707586373,0.5,-41.335586070758666,0.0
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,46,front,-3.438733545117989,1.0,-2.2098624551986745,0.5,0.06513754480133116,0.05
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,47,front,-1.5701135188568305,1.0,-1.628169736298247,0.5,18.14683026370176,0.0125
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,48,front,-3.0300459866860585,1.0,2.0464953306263567,0.5,48.92149533062636,0.0
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,33,front,1.5738523114296576,1.0,0.6052327465801284,0.5,2.1552327465801397,0.05
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,34,front,1.0508991484724284,1.0,6.773025587381028,0.25,-102.67697441261903,0.0
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,41,rear,-8.808452215459983,0.25,0.8734536944939464,0.2,-17.27654630550606,0.0025
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,42,rear,-11.203208529967013,0.25,-0.7858322772598285,0.2,1.3641677227401487,0.01
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,57,front,-18.573951477572237,0.5,-7.907371225330081,0.25,24.04262877466985,0.0125
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,35,front,-0.44168980865535445,1.0,-1.0692669452845962,0.5,1.8557330547153583,0.05
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,36,front,1.42104793548965,1.0,-2.0903882635859645,0.5,-3.1653882635859247,0.05
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,37,front,1.1074575248873675,1.0,-2.842396035420336,0.5,-0.3173960354202734,0.05
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,38,front,-2.2806921067824337,1.0,4.35424795047129,0.5,-9.720752049528699,0.05
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,48,rear,2.5686673691615702,0.5,6.515316449575806,0.1,7.940316449575789,0.01
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9468750000000004,2.9875000000000003,177.5,39,front,-3.5928409533058314,1.0,-1.3471124360110025,0.5,93.85288756398899,0.0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9468750000000004,2.9875000000000003,177.5,40,front,-1.5187678599005938,1.0,-0.6265742399149588,0.5,-69.92657423991497,0.0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9468750000000004,2.9875000000000003,177.5,41,front,3.898919148328339,1.0,-2.27737750101457,0.5,-29.97737750101456,0.0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9468750000000004,2.9875000000000003,177.5,42,front,2.432459771871409,1.0,-2.8694538143120383,0.5,3.0305461856879674,0.05
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9468750000000004,2.9875000000000003,177.5,43,front,0.19279952466546568,1.0,2.6453743883768652,0.5,56.845374388376854,0.0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9468750000000004,2.9875000000000003,177.5,44,front,-4.442587174873225,1.0,11.073424793854599,0.25,-11.426575206145401,0.0125
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.5625,36,rear,-5.5676135414564065,0.5,4.548596948212605,0.2,-20.68890305178735,0.0025
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.5625,37,rear,-1.2896536342135612,0.5,2.712866662554177,0.2,7.975366662554222,0.01
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.5625,45,front,-0.6515233334615456,1.0,-2.887185814093556,0.5,2.7753141859064385,0.05
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.5625,46,front,0.7157580333787994,1.0,-2.8293900248075943,0.5,0.033109975192417096,0.05
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.5625,48,front,-4.395806129925273,1.0,-4.683816000756963,0.25,-7.221316000756985,0.05
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.5625,49,front,0.7337909553009947,1.0,0.39938414980770176,0.5,-7.538115850192298,0.05
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.5625,50,front,-1.7430576253373964,1.0,8.789700808216082,0.25,-12.347799191783935,0.0125
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.95,4.140625,1.25,40,rear,7.078687994295363,0.5,6.805456198826533,0.1,-14.144543801173484,0.0025
