scanner,intended_x_m,intended_y_m,intended_heading_deg,position_tolerance_m,heading_tolerance_deg
twin-scout-alpha,1.8,4.4,270,0.20,10
twin-scout-bravo,2.4,4.4,270,0.20,10
twin-scout-charlie,3.0,4.4,270,0.20,10
twin-scout-delta,3.6,4.4,270,0.20,10
