scanner,t_offset_sec,category,action,args_json
twin-scout-alpha,0,mobility,mobility.report.location,{}
twin-scout-bravo,0,mobility,mobility.report.location,{}
twin-scout-alpha,180,mobility,mobility.move,"{""x_m"":2.4,""y_m"":4.4}"
