scanner,t_offset_sec,category,action,args_json
twin-scout-charlie,0,mobility,mobility.report.location,{}
twin-scout-charlie,60,mobility,mobility.in2out,{}
twin-scout-charlie,120,mobility,mobility.out2in,{}
