tag_id,camera_role,obs_count,used_count,reject_count,reject_rate,mean_distance_error_m,median_distance_error_m,mean_abs_distance_error_m,p90_abs_distance_error_m,mean_angle_error_deg,mean_abs_angle_error_deg,p90_abs_angle_error_deg,mean_yaw_error_deg,mean_abs_yaw_error_deg,p90_abs_yaw_error_deg,shift_dx_m,shift_dy_m,shift_norm_m,shift_fit_rmse_m,diagnosis
48,front,2,2,0,0.0,-0.091,-0.091,0.091,0.0934,1.2,1.2,1.28,0.55,1.45,1.89,-0.0132,0.0963,0.0972,0.0,consistent signed distance bias with small angle error; likely tag-map / physical installation coordinate bias
34,front,2,1,1,0.5,-0.085,-0.085,0.085,0.0946,2.2,2.2,2.84,-29.7,30.3,54.06,-0.0259,-0.0937,0.0972,0.0,consistent signed distance bias with small angle error; likely tag-map / physical installation coordinate bias
