source_file,sample_index,gt_x_m,gt_y_m,gt_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,diagnosis
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,6,8.0,2.0,110.0,36,front,N,4.261,4.367,-0.106,-24.7,-32.0,7.3,50.3,-52.0,102.3,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,1,5.0,1.0,110.0,41,front,N,4.446,4.616,-0.17,-28.0,-35.0,7.0,-45.5,35.0,-80.5,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,1,5.0,1.0,110.0,34,front,N,4.304,4.401,-0.097,40.9,39.5,1.4,-40.5,19.5,-60.0,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,2,2.0,1.0,60.0,39,front,Y,4.062,4.168,-0.106,-27.6,-34.9,7.3,26.0,-4.9,30.9,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,4,5.0,4.0,245.0,49,front,Y,3.829,3.879,-0.05,-26.3,-32.0,5.7,21.5,-7.0,28.5,yaw error at large camera view angle; likely physical edge/pose limitation
