dataset,source_file,gt_x,gt_y,gt_h,tag_id,camera_role,true_distance_m,meas_distance_m,distance_error_cm,true_angle_deg,meas_angle_deg,angle_error_deg,true_yaw_deg,meas_yaw_deg,yaw_error_deg,single_ok,single_x,single_y,single_h,single_pos_err_cm,single_heading_err_deg,score,flag
624,measure11-0624(1).txt,3,3,90,39,front,2.524,2.5,-2.4,-31.8,-26.7,5.1,-31.8,-39,-7.2,TRUE,3.255,3.2035,102.3,32.62,12.3,3.61,OK
624,measure11-0624(1).txt,3,3,90,46,rear,2.87,2.848,-2.2,7.6,12.8,5.2,7.6,-2.3,-9.9,TRUE,2.4918,2.999,105.1,50.82,15.1,4.16,LOW_YAW
624,measure11-0624(1).txt,3,3,180,40,front,2.367,2.425,5.8,42.5,41.8,-0.7,42.5,-52.4,-94.9,TRUE,2.6754,6.5753,274.2,359,94.2,20.37,YAW|EDGE
624,measure11-0624(1).txt,3,3,180,41,front,1.845,1.894,4.9,19,19.6,0.7,19,19.3,0.3,TRUE,3.0431,2.975,180.3,4.98,0.3,1.26,OK
624,measure11-0624(1).txt,3,3,180,42,front,1.76,1.769,0.9,-11.5,-11.8,-0.3,-11.5,9.2,20.7,TRUE,3.0179,2.3466,159,65.37,21,4.44,YAW|LOW_YAW
624,measure11-0624(1).txt,3,3,180,43,front,2.203,2.136,-6.7,-38.5,-29.7,8.7,-38.5,-46.6,-8.1,TRUE,2.7412,3.1966,196.9,32.5,16.9,5.87,ANGLE
624,measure11-0624(1).txt,3,3,270,37,rear,2.225,2.156,-6.9,15.4,20.4,5,15.4,-2.3,-17.7,TRUE,3.6986,2.9951,292.7,69.86,22.7,6.6,YAW|LOW_YAW
624,measure11-0624(1).txt,3,3,270,38,rear,2.177,2.127,-5,-9.8,-7,2.8,-9.8,-2.3,7.4,TRUE,2.7103,3.0201,265.3,29.04,4.7,3.43,LOW_YAW
624,measure11-0624(1).txt,3,3,270,44,front,2.936,2.874,-6.2,37.3,38.1,0.8,-52.7,-56.3,-3.6,TRUE,2.8112,3.0554,274.4,19.67,4.4,2.23,EDGE
624,measure11-0624(1).txt,3,3,270,45,front,3.141,3.141,0,25.1,24.8,-0.3,25.1,25.5,0.5,TRUE,3.0205,2.9906,269.3,2.25,0.7,0.2,FAR
624,measure11-0624(1).txt,3,3,270,46,front,2.87,2.849,-2.2,7.6,5.6,-2,7.6,-10,-17.7,TRUE,2.1109,2.9589,285.6,89,15.6,4.64,YAW
624,measure11-0624(1).txt,3,3,270,47,front,2.9,2.906,0.6,-11.1,-13.2,-2,-11.1,-14.8,-3.7,TRUE,2.8145,2.9638,271.6,18.9,1.6,1.53,OK
624,measure11-0624(1).txt,3,3,270,48,front,3.221,3.178,-4.3,-28,-25.2,2.7,-28,-37.4,-9.5,TRUE,2.5703,2.6794,282.2,53.61,12.2,3.66,FAR
