combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
21,1.0,0.4,2.0,0.25,0.3,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.46148710000124993
22,1.0,0.4,2.0,0.25,0.5,1.0,0.042499773377874424,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2278312241868339,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,9,9,0.4498167999990983
23,1.0,0.4,2.5,0.25,0.3,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.46119479999833857
24,1.0,0.4,2.5,0.25,0.5,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.4607058000001416
25,1.0,0.6,1.5,0.25,0.3,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.4659890999973868
26,1.0,0.6,1.5,0.25,0.5,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.45730230000117444
27,1.0,0.6,2.0,0.25,0.3,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.45995639999819105
28,1.0,0.6,2.0,0.25,0.5,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.4603789000029792
29,1.0,0.6,2.5,0.25,0.3,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.458018200002698
30,1.0,0.6,2.5,0.25,0.5,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.45887409999704687
31,1.0,0.8,1.5,0.25,0.3,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.46122230000037234
32,1.0,0.8,1.5,0.25,0.5,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.457913299997017
33,1.0,0.8,2.0,0.25,0.3,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.46246740000060527
34,1.0,0.8,2.0,0.25,0.5,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.45927189999929396
35,1.0,0.8,2.5,0.25,0.3,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.46722719999888795
36,1.0,0.8,2.5,0.25,0.5,1.0,0.042894497655204054,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11184192837797675,1.2126254979564914,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.460351300000184
37,1.2,0.4,1.5,0.25,0.3,1.0,0.04045711123757925,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2205096210565596,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.4187139000023308
38,1.2,0.4,1.5,0.25,0.5,1.0,0.04045711123757925,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2205096210565596,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.42236830000183545
39,1.2,0.4,2.0,0.25,0.3,1.0,0.04026630076341956,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2188144708238462,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.4098225999987335
40,1.2,0.4,2.0,0.25,0.5,1.0,0.04026630076341956,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2188144708238462,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.40875450000021374
