sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision
5,3.0,2.0,65.0,65.0,35,front,A,3.973,3.996,-0.023,14.3,13.2,1.2,34.8,38.2,-3.4,13.2,34.8,38.2,-3.4,-73.0,keep,-3.4,-69.6,69.6,38.2,accept_keep_quantized
5,3.0,2.0,65.0,65.0,36,front,A,3.067,3.072,-0.005,4.7,4.5,0.2,23.1,29.5,-6.4,4.5,23.1,29.5,-6.4,-52.6,keep,-6.4,-46.2,46.2,29.5,accept_keep_quantized
5,3.0,2.0,65.0,65.0,37,front,A,3.196,3.194,0.002,-14.5,-14.7,0.1,-14.1,10.3,-24.5,-14.7,-14.1,10.3,-24.5,3.8,flip,3.8,20.7,20.7,10.3,accept_flip_quantized
5,3.0,2.0,65.0,65.0,38,front,A,3.118,3.166,-0.049,-26.6,-32.1,5.4,24.4,-7.1,31.4,-32.1,24.4,-7.1,31.4,-17.3,flip,-17.3,14.1,14.1,,reject_edge
5,3.0,2.0,65.0,65.0,58,front,A,6.883,7.025,-0.142,43.6,42.9,0.7,38.7,-22.1,60.7,42.9,38.7,-22.1,60.7,-16.6,flip,-16.6,44.2,44.2,,reject_edge
5,3.0,2.0,65.0,65.0,45,rear,A,2.254,2.242,0.012,9.9,10.2,-0.3,33.2,35.2,-2.0,10.2,33.2,35.2,-2.0,-68.4,keep,-2.0,-66.5,66.5,,reject_edge
5,3.0,2.0,65.0,65.0,46,rear,A,1.862,1.864,-0.002,-16.5,-14.4,-2.0,-2.3,10.6,-12.9,-14.4,-2.3,10.6,-12.9,-8.2,flip,-8.2,4.7,4.7,,reject_edge
6,3.0,3.0,265.0,265.0,45,front,A,3.113,3.136,-0.023,18.5,19.9,-1.4,-28.6,24.9,-53.4,19.9,-28.6,24.9,-53.4,3.7,flip,3.7,49.8,49.8,24.9,accept_flip_quantized
6,3.0,3.0,265.0,265.0,46,front,A,2.856,2.869,-0.013,-1.0,2.4,-3.3,7.8,7.4,0.4,2.4,7.8,7.4,0.4,-15.1,keep,0.4,-14.7,14.7,,weak_small_true_yaw
6,3.0,3.0,265.0,265.0,47,front,A,2.909,2.904,0.005,-18.3,-16.6,-1.8,16.3,-11.6,27.8,-16.6,16.3,-11.6,27.8,-4.7,flip,-4.7,23.1,23.1,-11.6,accept_flip_quantized
6,3.0,3.0,265.0,265.0,48,front,A,3.183,3.228,-0.045,-28.7,-33.2,4.5,-38.4,-28.2,-10.2,-33.2,-38.4,-28.2,-10.2,66.6,keep,-10.2,-56.4,56.4,,reject_edge
6,3.0,3.0,265.0,265.0,37,rear,A,2.203,2.198,0.005,8.8,10.6,-1.8,11.8,15.6,-3.7,10.6,11.8,15.6,-3.7,-27.4,keep,-3.7,-23.7,23.7,,reject_edge
6,3.0,3.0,265.0,265.0,38,rear,A,2.178,2.15,0.028,-19.0,-15.0,-4.0,-2.3,-10.0,7.6,-15.0,-2.3,-10.0,7.6,12.3,keep,7.6,-4.7,4.7,,reject_edge
7,3.0,4.0,280.0,280.0,43,front,A,2.826,2.845,-0.019,44.0,49.1,-5.0,-62.0,-50.9,-11.1,49.1,-62.0,-50.9,-11.1,113.0,keep,-11.1,-101.9,101.9,,reject_edge
7,3.0,4.0,280.0,280.0,44,front,A,3.652,3.7,-0.048,35.8,39.0,-3.2,-63.2,-61.0,-2.2,39.0,-63.2,-61.0,-2.2,124.2,keep,-2.2,-122.0,122.0,,reject_edge
7,3.0,4.0,280.0,280.0,45,front,A,4.022,4.07,-0.048,26.0,29.1,-3.2,22.5,19.1,3.3,29.1,22.5,19.1,3.3,-41.6,keep,3.3,-38.2,38.2,19.1,accept_keep_quantized
7,3.0,4.0,280.0,280.0,46,front,A,3.854,3.865,-0.011,11.1,15.7,-4.6,3.2,5.7,-2.5,15.7,3.2,5.7,-2.5,-8.9,keep,-2.5,-6.4,6.4,,weak_small_true_yaw
7,3.0,4.0,280.0,280.0,47,front,A,3.923,3.887,0.035,-4.1,1.6,-5.7,-2.2,-8.4,6.2,1.6,-2.2,-8.4,6.2,10.5,keep,6.2,-4.3,4.3,,ambiguous_low_separation
7,3.0,4.0,280.0,280.0,48,front,A,4.139,4.132,0.007,-16.2,-11.4,-4.8,21.6,-21.4,43.0,-11.4,21.6,-21.4,43.0,-0.1,flip,-0.1,42.9,42.9,-21.4,accept_flip_quantized
7,3.0,4.0,280.0,280.0,49,front,A,4.615,4.56,0.055,-24.0,-22.5,-1.5,-35.5,-32.5,-3.0,-22.5,-35.5,-32.5,-3.0,68.0,keep,-3.0,-65.0,65.0,-32.5,accept_keep_quantized
7,3.0,4.0,280.0,280.0,38,rear,A,1.105,1.173,-0.068,-10.4,-7.5,-2.9,-14.2,-17.5,3.4,-7.5,-14.2,-17.5,3.4,31.7,keep,3.4,-28.3,28.3,-17.5,accept_keep_quantized
8,4.0,1.0,115.0,115.0,36,front,A,3.676,3.716,-0.04,37.1,33.7,3.4,-32.9,8.7,-41.6,33.7,-32.9,8.7,-41.6,24.2,flip,24.2,17.4,17.4,,reject_edge
8,4.0,1.0,115.0,115.0,38,front,A,4.386,4.354,0.032,8.7,7.0,1.7,-18.8,-18.0,-0.9,7.0,-18.8,-18.0,-0.9,36.8,keep,-0.9,-35.9,35.9,-18.0,accept_keep_quantized
