sample_index,declared_x_m,declared_y_m,preferred_heading_deg,gt_x_m,gt_y_m,gt_heading_deg,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,heading_error_deg,tags_seen,front_count,rear_count,tags_used,used_tag_count,solver_stage,solver_detail,compact_json,compact_csv,obs_json,latest_obs,actual_minus_preferred_heading_deg,abs_actual_minus_preferred_heading_deg,table_tag_count,table_used_tag_count,table_rejected_tag_count,yaw_accept_count,yaw_keep_accept_count,yaw_flip_accept_count,yaw_reject_edge_count,yaw_weak_small_count,yaw_poor_match_count,all_mean_abs_distance_error_m,all_mean_abs_angle_error_deg,all_mean_abs_yaw_error_deg,all_max_abs_distance_error_m,all_max_abs_angle_error_deg,all_max_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg,used_max_abs_distance_error_m,used_max_abs_angle_error_deg,used_max_abs_yaw_error_deg,rejected_mean_abs_distance_error_m,rejected_mean_abs_angle_error_deg,rejected_mean_abs_yaw_error_deg,rejected_max_abs_distance_error_m,rejected_max_abs_angle_error_deg,rejected_max_abs_yaw_error_deg,low_tag_flag,heading_override_flag,remeasure_priority
1,2.0,1.0,60.0,2.0,1.0,60.0,,,,,,6,5,1,34;36;37;38;39;45,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y1.00_h60_20260703_145301.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y1.00_h60_20260703_145301.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y1.00_h60_20260703_145301.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,4,3,1,2,0,0,0.04750000000000001,2.433333333333333,17.01666666666667,0.099,5.6,44.5,0.04750000000000001,2.433333333333333,17.01666666666667,0.099,5.6,44.5,,,,,,,N,N,OK
2,2.0,2.0,70.0,2.0,2.0,70.0,,,,,,6,4,2,36;37;38;39;44;45,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y2.00_h70_20260703_145733.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y2.00_h70_20260703_145733.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y2.00_h70_20260703_145733.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,2,2,0,2,1,0,0.023833333333333335,2.0,8.4,0.049,3.2,24.2,0.023833333333333335,2.0,8.4,0.049,3.2,24.2,,,,,,,N,N,OK
3,2.0,3.0,265.0,2.0,3.0,265.0,,,,,,7,5,2,43;44;45;46;47;38;39,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y3.00_h265_20260703_145928.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y3.00_h265_20260703_145928.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y3.00_h265_20260703_145928.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,3,2,1,3,1,0,0.019142857142857145,2.857142857142857,17.67142857142857,0.056,5.1,67.5,0.019142857142857145,2.857142857142857,17.67142857142857,0.056,5.1,67.5,,,,,,,N,N,OK
4,2.0,4.0,290.0,2.0,4.0,290.0,,,,,,6,5,1,45;46;47;48;49;39,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y4.00_h290_20260703_150247.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y4.00_h290_20260703_150247.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y4.00_h290_20260703_150247.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,5,4,1,0,1,0,0.06066666666666667,2.066666666666667,9.15,0.154,3.5,38.2,0.06066666666666667,2.066666666666667,9.15,0.154,3.5,38.2,,,,,,,N,N,OK
5,3.0,2.0,65.0,3.0,2.0,65.0,,,,,,7,5,2,35;36;37;38;58;45;46,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y2.00_h65_20260703_151003.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y2.00_h65_20260703_151003.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x3.00_y2.00_h65_20260703_151003.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,3,2,1,4,0,0,0.03357142857142857,1.4142857142857144,20.185714285714287,0.142,5.4,60.7,0.03357142857142857,1.4142857142857144,20.185714285714287,0.142,5.4,60.7,,,,,,,N,N,OK
6,3.0,3.0,265.0,3.0,3.0,265.0,,,,,,6,4,2,45;46;47;48;37;38,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y3.00_h265_20260703_150803.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y3.00_h265_20260703_150803.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x3.00_y3.00_h265_20260703_150803.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,2,0,2,3,1,0,0.01983333333333333,2.8000000000000003,17.183333333333334,0.045,4.5,53.4,0.01983333333333333,2.8000000000000003,17.183333333333334,0.045,4.5,53.4,,,,,,,N,N,OK
7,3.0,4.0,280.0,3.0,4.0,280.0,,,,,,8,7,1,43;44;45;46;47;48;49;38,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y4.00_h280_20260703_150456.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y4.00_h280_20260703_150456.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x3.00_y4.00_h280_20260703_150456.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,8,8,0,4,3,1,2,1,0,0.036375000000000005,3.8625,9.3375,0.068,5.7,43.0,0.036375000000000005,3.8625,9.3375,0.068,5.7,43.0,,,,,,,N,N,OK
8,4.0,1.0,115.0,4.0,1.0,115.0,,,,,,6,5,1,36;38;39;41;42;48,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y1.00_h115_20260703_153711.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y1.00_h115_20260703_153711.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y1.00_h115_20260703_153711.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,4,3,1,2,0,0,0.03933333333333333,2.5833333333333335,17.733333333333334,0.064,6.7,53.6,0.03933333333333333,2.5833333333333335,17.733333333333334,0.064,6.7,53.6,,,,,,,N,N,OK
9,4.0,2.0,65.0,4.0,2.0,65.0,,,,,,6,4,2,34;35;36;37;46;47,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y2.00_h65_20260703_151651.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y2.00_h65_20260703_151651.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y2.00_h65_20260703_151651.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,2,1,1,3,0,0,0.018166666666666668,1.633333333333333,17.816666666666666,0.054,6.1,50.5,0.018166666666666668,1.633333333333333,17.816666666666666,0.054,6.1,50.5,,,,,,,N,N,OK
10,4.0,3.0,250.0,4.0,3.0,250.0,,,,,,5,4,1,44;45;46;48;35,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y3.00_h250_20260703_151448.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y3.00_h250_20260703_151448.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y3.00_h250_20260703_151448.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,2,1,1,3,0,0,0.0508,3.54,40.64,0.093,5.9,81.2,0.0508,3.54,40.64,0.093,5.9,81.2,,,,,,,N,N,OK
11,4.0,4.0,220.0,4.0,4.0,220.0,,,,,,7,5,2,41;42;43;45;46;35;36,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y4.00_h220_20260703_151235.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y4.00_h220_20260703_151235.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y4.00_h220_20260703_151235.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,4,4,0,3,0,0,0.03928571428571429,1.542857142857143,6.942857142857143,0.093,4.8,24.3,0.03928571428571429,1.542857142857143,6.942857142857143,0.093,4.8,24.3,,,,,,,N,N,OK
12,5.0,1.0,115.0,5.0,1.0,115.0,,,,,,8,7,1,35;36;37;38;40;41;42;49,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y1.00_h115_20260703_154237.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y1.00_h115_20260703_154237.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y1.00_h115_20260703_154237.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,8,8,0,5,4,1,2,1,0,0.05575,3.025,13.175,0.142,10.3,54.4,0.05575,3.025,13.175,0.142,10.3,54.4,,,,,,,N,N,OK
13,5.0,2.0,115.0,5.0,2.0,115.0,,,,,,9,7,2,35;36;37;38;39;40;41;49;50,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y2.00_h115_20260703_154751.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y2.00_h115_20260703_154751.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y2.00_h115_20260703_154751.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,9,9,0,4,3,1,4,0,0,0.04088888888888889,2.7555555555555555,13.366666666666667,0.129,10.7,76.6,0.04088888888888889,2.7555555555555555,13.366666666666667,0.129,10.7,76.6,,,,,,,N,N,OK
14,5.0,3.0,245.0,5.0,3.0,245.0,,,,,,7,5,2,44;46;47;48;49;34;35,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y3.00_h245_20260703_154945.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y3.00_h245_20260703_154945.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y3.00_h245_20260703_154945.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,4,4,0,3,0,0,0.032285714285714286,1.5999999999999999,10.285714285714286,0.076,6.5,36.0,0.032285714285714286,1.5999999999999999,10.285714285714286,0.076,6.5,36.0,,,,,,,N,N,OK
15,5.0,4.0,245.0,5.0,4.0,245.0,,,,,,6,5,1,43;46;47;48;49;35,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y4.00_h245_20260703_155252.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y4.00_h245_20260703_155252.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y4.00_h245_20260703_155252.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,3,3,0,2,1,0,0.039,1.4333333333333333,10.333333333333334,0.064,5.4,21.0,0.039,1.4333333333333333,10.333333333333334,0.064,5.4,21.0,,,,,,,N,N,OK
16,6.0,2.0,65.0,6.0,2.0,65.0,,,,,,7,5,2,32;33;34;35;58;48;49,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y2.00_h65_20260703_155820.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y2.00_h65_20260703_155820.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x6.00_y2.00_h65_20260703_155820.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,3,3,0,2,1,1,0.045714285714285714,1.885714285714286,6.985714285714286,0.107,6.9,19.4,0.045714285714285714,1.885714285714286,6.985714285714286,0.107,6.9,19.4,,,,,,,N,N,OK
17,6.0,4.0,260.0,6.0,4.0,260.0,,,,,,6,5,1,46;48;49;50;51;34,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y4.00_h260_20260703_155616.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y4.00_h260_20260703_155616.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x6.00_y4.00_h260_20260703_155616.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,1,1,0,3,2,0,0.050833333333333335,2.6666666666666665,6.533333333333334,0.097,6.9,12.3,0.050833333333333335,2.6666666666666665,6.533333333333334,0.097,6.9,12.3,,,,,,,N,N,OK
18,7.0,1.0,25.0,7.0,1.0,25.0,,,,,,5,5,0,31;54;55;56;57,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y1.00_h25_20260703_160340.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y1.00_h25_20260703_160340.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y1.00_h25_20260703_160340.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,4,4,0,1,0,0,0.047,2.1399999999999997,7.88,0.105,3.8,34.0,0.047,2.1399999999999997,7.88,0.105,3.8,34.0,,,,,,,N,N,OK
19,7.0,2.0,60.0,7.0,2.0,60.0,,,,,,6,4,2,32;33;34;57;49;50,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y2.00_h60_20260703_160559.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y2.00_h60_20260703_160559.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y2.00_h60_20260703_160559.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,2,2,0,3,1,0,0.0375,2.783333333333333,13.700000000000001,0.075,10.1,25.2,0.0375,2.783333333333333,13.700000000000001,0.075,10.1,25.2,,,,,,,N,N,OK
20,7.0,3.0,250.0,7.0,3.0,250.0,,,,,,6,4,2,48;49;50;51;32;33,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y3.00_h250_20260703_162728.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y3.00_h250_20260703_162728.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y3.00_h250_20260703_162728.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,3,2,1,2,0,0,0.03866666666666666,1.5666666666666667,15.583333333333334,0.061,5.3,57.8,0.03866666666666666,1.5666666666666667,15.583333333333334,0.061,5.3,57.8,,,,,,,N,N,OK
21,7.0,4.0,295.0,7.0,4.0,295.0,,,,,,6,5,1,50;51;53;55;56;34,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y4.00_h295_20260703_162517.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y4.00_h295_20260703_162517.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y4.00_h295_20260703_162517.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,2,1,1,3,1,0,0.0395,4.333333333333333,20.916666666666668,0.063,13.2,65.9,0.0395,4.333333333333333,20.916666666666668,0.063,13.2,65.9,,,,,,,N,N,OK
22,8.0,1.0,40.0,8.0,1.0,40.0,,,,,,5,4,1,31;55;56;57;51,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y1.00_h40_20260703_160904.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y1.00_h40_20260703_160904.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x8.00_y1.00_h40_20260703_160904.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,5,5,0,0,0,0,0.0432,0.8,2.68,0.08,1.9,7.4,0.0432,0.8,2.68,0.08,1.9,7.4,,,,,,,N,N,OK
