sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s001,2,1,60,5,TRUE,,1.990665834,1.043954642,59.81315468,0.044934811,-0.186845319,0.186845319,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69,11.3043,9.90376118,5,5,0,36;37;38;39;45,36;37;38;39;45,
repeat10_s004,4,4,220,6,TRUE,,4.03649053,3.974326618,218.8158267,0.044617052,-1.184173269,1.184173269,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,55,9.459400011,5.022630698,6,6,0,42;43;45;46;35;36,42;43;45;46;35;36,
repeat10_s002,2,4,290,5,TRUE,,2.010709384,3.957736001,288.345125,0.043599731,-1.654874964,1.654874964,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58,9.176800013,0.402530457,5,5,0,45;46;47;48;39,45;46;47;48;39,
main29_s009,4,2,65,6,TRUE,,3.958385377,2.011610748,65.70275458,0.043204008,0.702754585,0.702754585,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,56,9.240700005,2.523181572,6,6,0,34;35;36;37;46;47,34;35;36;37;46;47,
main29_s004,2,4,290,6,TRUE,,1.957919064,4.007093044,288.7463696,0.042674541,-1.253630395,1.253630395,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,65,11.13669999,4.128317833,6,6,0,45;46;47;48;49;39,45;46;47;48;49;39,
main29_s016,6,2,65,6,TRUE,,5.990176683,2.040912906,66.07267313,0.042075687,1.072673131,1.072673131,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57,9.386699996,2.930388314,6,6,0,32;33;34;35;48;49,32;33;34;35;48;49,
main29_s013,5,2,115,7,TRUE,,4.965431134,1.980713672,115.6425298,0.039584959,0.642529791,0.642529791,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58,10.5305,4.202073801,7,7,0,36;37;38;39;40;49;50,36;37;38;39;40;49;50,
repeat10_s006,5,2,115,7,TRUE,,4.964127784,2.013337128,114.7348404,0.038271332,-0.265159605,0.265159605,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,56,9.933599998,2.642528043,7,7,0,36;37;38;39;40;49;50,36;37;38;39;40;49;50,
main29_s010,4,3,250,4,TRUE,,4.022508949,2.969648178,253.1273773,0.037787378,3.127377259,3.127377259,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61,9.095200003,3.107487601,4,4,0,45;46;48;35,45;46;48;35,
main29_s020,7,3,250,6,TRUE,,7.031505818,2.981123846,250.6099438,0.036727725,0.609943758,0.609943758,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,63,10.52000001,2.68550772,6,6,0,48;49;50;51;32;33,48;49;50;51;32;33,
