sample_uid,observation_uid,tag_id,camera_role,component_pattern,distance_use,distance_use_reason,angle_use,angle_use_reason,yaw_use,yaw_use_reason
main29_s009,main29_s009_o055,36,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s009,main29_s009_o056,37,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s009,main29_s009_o057,46,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s009,main29_s009_o058,47,rear,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s010,main29_s010_o060,45,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_flip
main29_s010,main29_s010_o061,46,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s010,main29_s010_o062,48,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
main29_s010,main29_s010_o063,35,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s011,main29_s011_o065,42,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s011,main29_s011_o066,43,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s011,main29_s011_o067,45,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s011,main29_s011_o068,46,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s011,main29_s011_o069,35,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s011,main29_s011_o070,36,rear,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s012,main29_s012_o072,36,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s012,main29_s012_o073,37,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s012,main29_s012_o074,38,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
main29_s012,main29_s012_o075,40,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s012,main29_s012_o076,41,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s012,main29_s012_o078,49,rear,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s013,main29_s013_o080,36,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s013,main29_s013_o081,37,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s013,main29_s013_o082,38,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s013,main29_s013_o083,39,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s013,main29_s013_o084,40,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_flip
main29_s013,main29_s013_o086,49,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s013,main29_s013_o087,50,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s014,main29_s014_o089,46,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s014,main29_s014_o090,47,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s014,main29_s014_o091,48,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s014,main29_s014_o092,49,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
main29_s014,main29_s014_o093,34,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s014,main29_s014_o094,35,rear,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s015,main29_s015_o096,46,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s015,main29_s015_o097,47,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s015,main29_s015_o098,48,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s015,main29_s015_o099,49,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s015,main29_s015_o100,35,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s016,main29_s016_o101,32,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s016,main29_s016_o102,33,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s016,main29_s016_o103,34,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s016,main29_s016_o104,35,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
main29_s016,main29_s016_o106,48,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s016,main29_s016_o107,49,rear,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
main29_s017,main29_s017_o109,48,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s017,main29_s017_o110,49,front,A,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s017,main29_s017_o111,50,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s017,main29_s017_o112,51,front,A,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
main29_s017,main29_s017_o113,34,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s018,main29_s018_o114,31,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s018,main29_s018_o116,55,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s018,main29_s018_o117,56,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s018,main29_s018_o118,57,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s019,main29_s019_o119,32,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s019,main29_s019_o120,33,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s019,main29_s019_o123,49,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s019,main29_s019_o124,50,rear,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
main29_s020,main29_s020_o125,48,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s020,main29_s020_o126,49,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
main29_s020,main29_s020_o127,50,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
