sample_uid,observation_uid,tag_id,camera_role,distance_use,distance_use_reason,distance_m2_signed,distance_m2_abs,angle_use,angle_use_reason,yaw_use,yaw_use_reason,yaw_mode,yaw_resolved_deg,predicted_yaw_deg
main29_s005,main29_s005_o031,45,rear,True,kept_m2_abs_lt_0p95,-0.5703175373609071,0.5703175373609071,True,kept_no_second_screen,True,accept_keep,keep,33.19999999999999,34.12136953346942
main29_s005,main29_s005_o032,46,rear,True,kept_m2_abs_lt_0p95,0.4159517941684099,0.4159517941684099,True,kept_no_second_screen,False,reject_ambiguous_low_separation,flip,,9.405645902445144
main29_s006,main29_s006_o033,45,front,True,kept_m2_abs_lt_0p95,0.3882911760682628,0.3882911760682628,True,kept_no_second_screen,True,accept_flip,flip,28.599999999999994,25.442920038503473
main29_s006,main29_s006_o034,46,front,True,kept_m2_abs_lt_0p95,-0.05153188224503502,0.05153188224503502,True,kept_no_second_screen,False,reject_small_predicted_yaw,keep,,7.9469050672473145
main29_s006,main29_s006_o035,47,front,True,kept_m2_abs_lt_0p95,-0.5813444602761386,0.5813444602761386,True,kept_no_second_screen,True,accept_flip,flip,-16.30000000000001,-11.100861149619107
main29_s006,main29_s006_o036,48,front,True,kept_m2_abs_lt_0p95,0.3546585455297713,0.3546585455297713,True,kept_no_second_screen,False,reject_poor_keep_flip_match,keep,,-27.90288634561915
main29_s006,main29_s006_o037,37,rear,True,kept_m2_abs_lt_0p95,0.05153188224503502,0.05153188224503502,True,kept_no_second_screen,True,accept_keep,keep,11.800000000000011,14.6934101767514
main29_s006,main29_s006_o038,38,rear,True,kept_m2_abs_lt_0p95,-0.18681126816574967,0.18681126816574967,True,kept_no_second_screen,False,reject_ambiguous_low_separation,keep,,-10.706243975120856
main29_s007,main29_s007_o041,45,front,True,kept_m2_abs_lt_0p95,0.42002651749095676,0.42002651749095676,True,kept_no_second_screen,True,accept_keep,keep,22.5,18.141160162506424
main29_s007,main29_s007_o042,46,front,True,kept_m2_abs_lt_0p95,-0.2845046994229605,0.2845046994229605,True,kept_no_second_screen,False,reject_small_predicted_yaw,keep,,4.6239039431636115
main29_s007,main29_s007_o043,47,front,True,kept_m2_abs_lt_0p95,-0.8661010732933061,0.8661010732933061,True,kept_no_second_screen,False,reject_ambiguous_low_separation,keep,,-9.404532238764602
main29_s007,main29_s007_o044,48,front,True,kept_m2_abs_lt_0p95,0.2845046994229605,0.2845046994229605,True,kept_no_second_screen,True,accept_flip,flip,-21.599999999999994,-22.30942291212233
main29_s007,main29_s007_o045,49,front,True,kept_m2_abs_lt_0p95,-0.6946728912731397,0.6946728912731397,True,kept_no_second_screen,True,accept_keep,keep,-35.5,-33.19413227966112
main29_s007,main29_s007_o046,38,rear,True,kept_m2_abs_lt_0p95,0.5769135189252639,0.5769135189252639,True,kept_no_second_screen,True,accept_keep,keep,-14.199999999999989,-14.640818473800778
main29_s008,main29_s008_o048,38,front,False,rejected_m2_abs_ge_0p95,-1.118513257670532,1.118513257670532,True,kept_no_second_screen,True,accept_keep,keep,-18.80000000000001,-17.342445072869396
main29_s008,main29_s008_o049,39,front,True,kept_m2_abs_lt_0p95,0.5591296234196482,0.5591296234196482,True,kept_no_second_screen,True,accept_flip,flip,-24.5,-28.49937056286717
main29_s008,main29_s008_o050,41,front,True,kept_m2_abs_lt_0p95,0.4394969199334738,0.4394969199334738,True,kept_no_second_screen,True,accept_keep,keep,39.69999999999999,44.36716233236862
main29_s008,main29_s008_o051,42,front,False,rejected_m2_abs_ge_0p95,-0.9986265433531221,0.9986265433531221,True,kept_no_second_screen,True,accept_keep,keep,35.0,32.494260973928505
main29_s008,main29_s008_o052,48,rear,True,kept_m2_abs_lt_0p95,0.7659926878242551,0.7659926878242551,True,kept_no_second_screen,True,accept_keep,keep,-33.400000000000006,-33.16688936473378
main29_s009,main29_s009_o053,34,front,True,kept_m2_abs_lt_0p95,0.37097688204170254,0.37097688204170254,True,kept_no_second_screen,True,accept_keep,keep,34.5,38.270070047964964
main29_s009,main29_s009_o054,35,front,True,kept_m2_abs_lt_0p95,-0.37097688204170254,0.37097688204170254,True,kept_no_second_screen,True,accept_flip,flip,25.5,25.784825192461426
main29_s009,main29_s009_o055,36,front,True,kept_m2_abs_lt_0p95,-0.5347579005903835,0.5347579005903835,True,kept_no_second_screen,False,reject_ambiguous_low_separation,keep,,11.84113893823428
