tag_id,camera_role,obs_count,used_count,rejected_count,reject_rate,mean_abs_distance_error_m,mean_abs_angle_error_deg,mean_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg
31,rear,1,1,0,0.0,0.067,8.6,5.5,0.067,8.6,5.5
32,front,1,1,0,0.0,0.05,5.9,34.7,0.05,5.9,34.7
33,front,1,1,0,0.0,0.052,4.7,3.4,0.052,4.7,3.4
34,front,2,1,1,0.5,0.08499999999999999,2.2,30.3,0.073,3.0,0.6
35,front,2,2,0,0.0,0.052000000000000005,2.9,6.550000000000001,0.052000000000000005,2.9,6.550000000000001
35,rear,1,1,0,0.0,0.043,2.4,3.2,0.043,2.4,3.2
36,front,3,2,1,0.3333333333333333,0.04933333333333333,3.3000000000000003,38.93333333333333,0.020999999999999998,1.3,7.25
37,front,2,2,0,0.0,0.047,0.39999999999999997,4.6,0.047,0.39999999999999997,4.6
38,front,2,2,0,0.0,0.078,1.3499999999999999,1.3,0.078,1.3499999999999999,1.3
39,front,1,1,0,0.0,0.106,7.3,30.9,0.106,7.3,30.9
39,rear,1,1,0,0.0,0.022,5.2,0.6,0.022,5.2,0.6
40,front,1,1,0,0.0,0.001,3.1,2.8,0.001,3.1,2.8
41,front,1,0,1,1.0,0.17,7.0,80.5,,,
44,front,1,1,0,0.0,0.02,2.7,6.8,0.02,2.7,6.8
45,front,2,1,1,0.5,0.0485,3.05,56.55,0.076,4.2,30.4
45,rear,1,1,0,0.0,0.035,4.2,4.7,0.035,4.2,4.7
46,front,2,2,0,0.0,0.0795,1.8499999999999999,34.199999999999996,0.0795,1.8499999999999999,34.199999999999996
47,front,2,2,0,0.0,0.07100000000000001,0.65,21.8,0.07100000000000001,0.65,21.8
48,front,2,2,0,0.0,0.091,1.2000000000000002,1.45,0.091,1.2000000000000002,1.45
49,front,1,1,0,0.0,0.05,5.7,28.5,0.05,5.7,28.5
49,rear,1,1,0,0.0,0.049,0.8,2.8,0.049,0.8,2.8
50,front,1,1,0,0.0,0.06,0.9,4.9,0.06,0.9,4.9
51,front,1,1,0,0.0,0.021,0.8,6.3,0.021,0.8,6.3
52,front,1,1,0,0.0,0.049,5.3,14.9,0.049,5.3,14.9
52,rear,1,1,0,0.0,0.021,6.2,2.0,0.021,6.2,2.0
53,rear,1,1,0,0.0,0.071,4.4,0.6,0.071,4.4,0.6
57,rear,1,1,0,0.0,0.116,6.3,9.4,0.116,6.3,9.4
