rank,combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,2,0.8,0.4,1.5,0.25,0.5,1.0,0.0409360046984587,0.039000801549351816,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0889677813801943,0.6283898174763749,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,18,18,0.5447510000012699
2,4,0.8,0.4,2.0,0.25,0.5,1.0,0.04073862483946716,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0718783715240618,0.6088384684906032,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5537652999992133
3,6,0.8,0.4,2.5,0.25,0.5,1.0,0.041505688962933454,0.03879504916850857,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0662129670076719,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5570719000024837
4,8,0.8,0.6,1.5,0.25,0.5,1.0,0.041062691548006965,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0759785329747291,0.6088384684906032,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5538352000003215
5,12,0.8,0.6,2.5,0.25,0.5,1.0,0.041505688962933454,0.03879504916850857,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0662129670076719,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5542495999980019
6,18,0.8,0.8,2.5,0.25,0.5,1.0,0.041505688962933454,0.03879504916850857,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0662129670076719,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5461551999978838
7,10,0.8,0.6,2.0,0.25,0.5,1.0,0.04113334911679679,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0566726452937194,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,21,21,0.6700966999997036
8,14,0.8,0.8,1.5,0.25,0.5,1.0,0.04113334911679679,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0566726452937194,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,21,21,0.5618778999996721
9,16,0.8,0.8,2.0,0.25,0.5,1.0,0.04113334911679679,0.038172571852276786,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0566726452937194,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,21,21,0.5617992999978014
10,22,1.0,0.4,2.0,0.25,0.5,1.0,0.04038040916849953,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.130879110087617,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,11,11,0.4759117999965383
11,24,1.0,0.4,2.5,0.25,0.5,1.0,0.04114747329196584,0.03879504916850857,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1252137055712272,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,11,11,0.4712457000023278
