stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score
pass1,main29_s010,main29_s010_o061,46,front,3.143,3.1102480829865717,-0.032751917013428056,-0.6550383402685611,7.6,9.351045054805127,1.7510450548051324,0.5836816849350441,True,20.2,24.473105514088246,4.2731055140882575,1.424368504696086,0.965847671516333
pass1,main29_s010,main29_s010_o062,48,front,2.875,2.894640538373147,0.019640538373146832,0.39281076746293664,-24.9,-27.17670633402065,-2.276706334020645,-0.7589021113402149,False,,,,,0.6042485885922521
pass1,main29_s011,main29_s011_o065,42,front,2.995,2.99075252553268,-0.004247474467319989,-0.08494948934639979,16.7,16.385322360688633,-0.3146776393113555,-0.1048925464371185,True,-27.1,-23.461397104091816,3.6386028959081784,1.2128676319693927,0.7045723891641226
pass1,main29_s011,main29_s011_o066,43,front,3.543,3.5189702222644743,-0.024029777735525837,-0.48059555471051674,-0.1,1.073634350284351,1.1736343502843454,0.3912114500947818,True,-39.1,-38.7730851144961,0.32691488550389636,0.10897162850129878,0.36326909296507104
pass1,main29_s011,main29_s011_o067,45,front,4.412,4.4687825981286595,0.0567825981286596,1.135651962573192,-18.7,-19.40857732530776,-0.7085773253077718,-0.23619244176925727,True,30.6,30.74470320991179,0.1447032099117962,0.04823440330393206,0.6702782524960195
pass1,main29_s011,main29_s011_o069,35,rear,1.828,1.8476846906846747,0.0196846906846746,0.393693813693492,0.8,0.6386426376111558,-0.16135736238885556,-0.05378578746295185,True,50.5,50.79192317283071,0.2919231728307068,0.09730772427690226,0.23618955881345632
pass1,main29_s012,main29_s012_o072,36,front,3.664,3.7320676773061656,0.06806767730616547,1.3613535461233095,20.6,20.298794814474718,-0.3012051855252764,-0.10040172850842548,False,,,,,0.9652367545400428
pass1,main29_s012,main29_s012_o073,37,front,4.433,4.392140302654855,-0.0408596973451445,-0.8171939469028899,7.6,8.697484902094885,1.097484902094891,0.36582830069829697,True,-15.1,-17.96073477003631,-2.8607347700363164,-0.9535782566787722,0.7551926429852304
pass1,main29_s012,main29_s012_o074,38,front,4.735,4.777740799824442,0.04274079982444157,0.7151903743040978,-4.4,-2.3567038339912187,2.043296166008787,0.681098722002929,True,-24.9,-29.014923506122443,-4.114923506122437,-1.3716411687074792,0.9758401912035389
pass1,main29_s012,main29_s012_o076,41,front,4.613,4.610985456047803,-0.002014543952197023,-0.03370976792998446,-25.0,-27.7884956032199,-2.7884956032199,-0.9294985344066333,True,36.2,35.553284724648876,-0.6467152753511414,-0.21557175845038046,0.5512334825822787
pass1,main29_s012,main29_s012_o078,49,rear,0.868,0.9160309202052691,0.04803092020526911,0.9606184041053822,-2.8,-2.7853821659703044,0.014617834029706955,0.0048726113432356515,True,-29.1,-29.44360183810153,-0.34360183810153444,-0.11453394603384481,0.5585485611360208
pass1,main29_s013,main29_s013_o080,36,front,2.764,2.7261259198029393,-0.03787408019706051,-0.7574816039412102,17.8,17.204270026338918,-0.5957299736610935,-0.19857665788703116,False,,,,,0.5537197257489259
