sample_index,declared_x_m,declared_y_m,preferred_heading_deg,gt_x_m,gt_y_m,gt_heading_deg,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,heading_error_deg,tags_seen,front_count,rear_count,tags_used,used_tag_count,solver_stage,solver_detail,compact_json,compact_csv,obs_json,latest_obs,actual_minus_preferred_heading_deg,abs_actual_minus_preferred_heading_deg,table_tag_count,table_used_tag_count,table_rejected_tag_count,yaw_accept_count,yaw_keep_accept_count,yaw_flip_accept_count,yaw_reject_edge_count,yaw_weak_small_count,yaw_poor_match_count,all_mean_abs_distance_error_m,all_mean_abs_angle_error_deg,all_mean_abs_yaw_error_deg,all_max_abs_distance_error_m,all_max_abs_angle_error_deg,all_max_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg,used_max_abs_distance_error_m,used_max_abs_angle_error_deg,used_max_abs_yaw_error_deg,rejected_mean_abs_distance_error_m,rejected_mean_abs_angle_error_deg,rejected_mean_abs_yaw_error_deg,rejected_max_abs_distance_error_m,rejected_max_abs_angle_error_deg,rejected_max_abs_yaw_error_deg,low_tag_flag,heading_override_flag,remeasure_priority
11,5.0,1.0,115.0,5.0,1.0,115.0,,,,,,7,6,1,35;36;37;38;40;42;49,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y1.00_h115_20260701_145742.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x5.00_y1.00_h115_20260701_145742.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y1.00_h115_20260701_145742.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,4,2,2,2,1,0,0.06742857142857143,4.2,22.342857142857145,0.134,10.9,53.7,0.06742857142857143,4.2,22.342857142857145,0.134,10.9,53.7,,,,,,,N,N,OK
12,4.0,1.0,115.0,4.0,1.0,115.0,,,,,,7,6,1,36;38;39;40;41;42;48,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y1.00_h115_20260701_150408.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y1.00_h115_20260701_150408.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y1.00_h115_20260701_150408.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,5,3,2,2,0,0,0.09,3.085714285714286,24.74285714285714,0.184,7.0,105.2,0.09,3.085714285714286,24.74285714285714,0.184,7.0,105.2,,,,,,,N,N,OK
13,4.0,2.0,65.0,4.0,2.0,65.0,,,,,,6,4,2,33;34;35;36;46;47,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y2.00_h65_20260701_150743.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y2.00_h65_20260701_150743.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y2.00_h65_20260701_150743.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,4,4,0,2,0,0,0.055,0.7833333333333333,4.783333333333334,0.079,1.5,14.4,0.055,0.7833333333333333,4.783333333333334,0.079,1.5,14.4,,,,,,,N,N,OK
14,4.0,3.0,250.0,4.0,3.0,250.0,,,,,,6,5,1,44;45;46;47;48;35,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y3.00_h250_20260701_151045.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y3.00_h250_20260701_151045.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y3.00_h250_20260701_151045.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,3,3,0,3,0,0,0.053,1.7333333333333334,9.55,0.075,3.4,36.6,0.053,1.7333333333333334,9.55,0.075,3.4,36.6,,,,,,,N,N,OK
15,4.0,4.0,220.0,4.0,4.0,220.0,,,,,,8,6,2,41;42;43;44;45;46;33;36,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y4.00_h220_20260701_151313.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x4.00_y4.00_h220_20260701_151313.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y4.00_h220_20260701_151313.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,8,8,0,4,3,1,4,0,0,0.052125,1.525,36.1875,0.095,5.3,145.8,0.052125,1.525,36.1875,0.095,5.3,145.8,,,,,,,N,N,OK
16,3.0,4.0,280.0,3.0,4.0,280.0,,,,,,7,6,1,44;45;46;47;48;49;38,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y4.00_h280_20260701_151646.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y4.00_h280_20260701_151646.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x3.00_y4.00_h280_20260701_151646.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,3,3,0,1,1,1,0.06328571428571429,1.1428571428571428,12.657142857142857,0.105,2.0,50.5,0.06328571428571429,1.1428571428571428,12.657142857142857,0.105,2.0,50.5,,,,,,,N,N,OK
17,3.0,3.0,265.0,3.0,3.0,265.0,,,,,,7,5,2,44;45;46;47;48;37;38,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y3.00_h265_20260701_152253.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y3.00_h265_20260701_152253.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x3.00_y3.00_h265_20260701_152253.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,2,1,1,4,1,0,0.060142857142857144,2.9,13.471428571428572,0.102,4.3,33.6,0.060142857142857144,2.9,13.471428571428572,0.102,4.3,33.6,,,,,,,N,N,OK
18,3.0,2.0,65.0,3.0,2.0,65.0,,,,,,4,4,0,33;36;37;38,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y2.00_h65_20260701_152656.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x3.00_y2.00_h65_20260701_152656.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x3.00_y2.00_h65_20260701_152656.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,4,4,0,3,1,2,1,0,0,0.1105,3.0749999999999997,44.9,0.172,4.1,112.7,0.1105,3.0749999999999997,44.9,0.172,4.1,112.7,,,,,,,N,N,OK
19,2.0,1.0,60.0,2.0,1.0,60.0,,,,,,4,3,1,37;38;39;45,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y1.00_h60_20260701_153051.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y1.00_h60_20260701_153051.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y1.00_h60_20260701_153051.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,4,4,0,2,2,0,2,0,0,0.0795,3.25,12.625,0.145,5.7,26.7,0.0795,3.25,12.625,0.145,5.7,26.7,,,,,,,N,N,OK
20,2.0,2.0,70.0,2.0,2.0,70.0,,,,,,6,4,2,36;37;38;39;44;45,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y2.00_h70_20260701_154518.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y2.00_h70_20260701_154518.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y2.00_h70_20260701_154518.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,3,2,1,2,1,0,0.05333333333333334,1.7,12.549999999999999,0.117,2.5,25.7,0.05333333333333334,1.7,12.549999999999999,0.117,2.5,25.7,,,,,,,N,N,OK
21,2.0,3.0,265.0,2.0,3.0,265.0,,,,,,7,5,2,43;44;45;46;47;38;39,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y3.00_h265_20260701_154743.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y3.00_h265_20260701_154743.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y3.00_h265_20260701_154743.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,3,3,0,3,1,0,0.07114285714285715,1.5571428571428572,6.028571428571428,0.117,5.5,11.7,0.07114285714285715,1.5571428571428572,6.028571428571428,0.117,5.5,11.7,,,,,,,N,N,OK
22,2.0,4.0,290.0,2.0,4.0,290.0,,,,,,5,4,1,45;46;47;48;39,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y4.00_h290_20260701_155718.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x2.00_y4.00_h290_20260701_155718.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x2.00_y4.00_h290_20260701_155718.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,4,2,2,0,1,0,0.0942,1.06,19.04,0.189,1.6,65.6,0.0942,1.06,19.04,0.189,1.6,65.6,,,,,,,N,N,OK
23,6.0,2.0,65.0,6.0,2.0,65.0,,,,,,8,6,2,32;33;34;35;57;58;48;49,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y2.00_h65_20260701_160131.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x6.00_y2.00_h65_20260701_160131.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x6.00_y2.00_h65_20260701_160131.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,8,8,0,3,3,0,3,1,1,0.05875,4.275,16.875,0.094,6.0,57.5,0.05875,4.275,16.875,0.094,6.0,57.5,,,,,,,N,N,OK
24,7.0,1.0,25.0,7.0,1.0,25.0,,,,,,5,5,0,31;54;55;56;57,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y1.00_h25_20260701_160457.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y1.00_h25_20260701_160457.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y1.00_h25_20260701_160457.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,4,3,1,1,0,0,0.07780000000000001,0.8,22.86,0.115,1.4,78.3,0.07780000000000001,0.8,22.86,0.115,1.4,78.3,,,,,,,N,N,OK
25,7.0,2.0,60.0,7.0,2.0,60.0,,,,,,8,6,2,31;32;33;34;57;58;49;50,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y2.00_h60_20260701_161103.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y2.00_h60_20260701_161103.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y2.00_h60_20260701_161103.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,8,8,0,4,4,0,3,1,0,0.05625,2.3,11.725,0.098,8.7,28.8,0.05625,2.3,11.725,0.098,8.7,28.8,,,,,,,N,N,OK
26,7.0,3.0,250.0,7.0,3.0,250.0,,,,,,7,5,2,47;48;49;50;51;32;33,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y3.00_h250_20260701_161400.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x7.00_y3.00_h250_20260701_161400.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y3.00_h250_20260701_161400.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,7,0,2,1,1,3,0,0,0.07671428571428572,2.9,21.414285714285715,0.201,4.6,82.0,0.07671428571428572,2.9,21.414285714285715,0.201,4.6,82.0,,,,,,,N,N,OK
27,8.0,3.0,250.0,8.0,3.0,250.0,,,,,,6,4,2,48;50;51;52;32;58,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y3.00_h250_20260701_161705.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y3.00_h250_20260701_161705.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x8.00_y3.00_h250_20260701_161705.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,6,6,0,2,2,0,4,0,0,0.0365,4.2,7.033333333333332,0.075,5.3,20.9,0.0365,4.2,7.033333333333332,0.075,5.3,20.9,,,,,,,N,N,OK
28,8.0,2.0,110.0,8.0,2.0,110.0,,,,,,5,4,1,32;33;34;35;52,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y2.00_h110_20260701_161939.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y2.00_h110_20260701_161939.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x8.00_y2.00_h110_20260701_161939.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,4,3,1,0,1,0,0.0852,2.54,10.08,0.159,3.8,27.5,0.0852,2.54,10.08,0.159,3.8,27.5,,,,,,,N,N,OK
29,8.0,1.0,40.0,8.0,1.0,40.0,,,,,,5,4,1,31;55;56;57;51,0,,,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y1.00_h40_20260701_162234.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obscheck_x8.00_y1.00_h40_20260701_162234.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x8.00_y1.00_h40_20260701_162234.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,5,5,0,0,0,0,0.0506,2.16,3.38,0.061,3.3,6.8,0.0506,2.16,3.38,0.061,3.3,6.8,,,,,,,N,N,OK
