tag_id,camera_role,obs_count,used_count,rejected_count,reject_rate,mean_abs_distance_error_m,mean_abs_angle_error_deg,mean_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg,yaw_accept_count,yaw_keep_accept_count,yaw_flip_accept_count,yaw_reject_edge_count,yaw_poor_match_count
31,front,5,5,0,0.0,0.072,1.3,3.0,0.072,1.3,3.0,5,5,0,0,0
32,front,4,4,0,0.0,0.09675,2.9,10.325,0.09675,2.9,10.325,3,3,0,0,0
32,rear,3,3,0,0.0,0.03366666666666667,3.1999999999999997,4.333333333333333,0.03366666666666667,3.1999999999999997,4.333333333333333,1,1,0,2,0
33,front,6,6,0,0.0,0.09249999999999999,2.5833333333333335,28.983333333333334,0.09249999999999999,2.5833333333333335,28.983333333333334,4,2,2,1,0
33,rear,4,4,0,0.0,0.066,2.725,40.35,0.066,2.725,40.35,0,0,0,3,0
34,front,4,4,0,0.0,0.079,4.075,9.799999999999999,0.079,4.075,9.799999999999999,2,2,0,1,0
34,rear,4,4,0,0.0,0.044000000000000004,2.3,2.025,0.044000000000000004,2.3,2.025,2,2,0,2,0
35,front,5,5,0,0.0,0.073,3.2199999999999998,20.8,0.073,3.2199999999999998,20.8,2,2,0,3,0
35,rear,3,3,0,0.0,0.036333333333333336,1.0333333333333334,7.333333333333333,0.036333333333333336,1.0333333333333334,7.333333333333333,1,1,0,2,0
36,front,6,6,0,0.0,0.042,2.9,8.9,0.042,2.9,8.9,4,4,0,1,0
36,rear,1,1,0,0.0,0.068,0.1,8.4,0.068,0.1,8.4,0,0,0,1,0
37,front,5,5,0,0.0,0.0702,2.52,20.96,0.0702,2.52,20.96,5,2,3,0,0
37,rear,1,1,0,0.0,0.051,1.8,33.6,0.051,1.8,33.6,0,0,0,1,0
38,front,6,6,0,0.0,0.07966666666666668,1.95,25.133333333333336,0.07966666666666668,1.95,25.133333333333336,5,2,3,1,0
38,rear,3,3,0,0.0,0.042,1.9000000000000001,4.766666666666667,0.042,1.9000000000000001,4.766666666666667,1,1,0,2,0
39,front,4,4,0,0.0,0.1065,3.025,35.949999999999996,0.1065,3.025,35.949999999999996,2,1,1,1,0
39,rear,2,2,0,0.0,0.037500000000000006,0.65,3.5,0.037500000000000006,0.65,3.5,1,1,0,1,0
