trial,robot_id,gt_x_m,gt_y_m,gt_heading_deg,estimate_ok,estimated_x_m,estimated_y_m,estimated_heading_deg,pos_error_m,heading_error_deg,tag_count,front_count,rear_count,tags_used_json,observations_json,detail,report_time,direct_command_stream_id,notes
P2A-001,twin-scout-delta,5.45,2.0,270.0,False,,,,,,4,4,0,[],"[{""id"": 47, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 3.2449, ""angle_deg_cw"": 37.0218, ""yaw_deg"": 47.3471, ""bearing_robot_deg_ccw"": -37.021799999999985, ""snapshot_path"": ""/tmp/location_front_1780654362161.jpg""}, {""id"": 48, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 2.3402, ""angle_deg_cw"": 23.1818, ""yaw_deg"": 25.5195, ""bearing_robot_deg_ccw"": -23.18180000000001, ""snapshot_path"": ""/tmp/location_front_1780654362161.jpg""}, {""id"": 49, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 1.9755, ""angle_deg_cw"": -2.4486, ""yaw_deg"": -0.8009, ""bearing_robot_deg_ccw"": 2.448599999999999, ""snapshot_path"": ""/tmp/location_front_1780654362161.jpg""}, {""id"": 50, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 2.2084, ""angle_deg_cw"": -29.3658, ""yaw_deg"": -35.1678, ""bearing_robot_deg_ccw"": 29.365800000000007, ""snapshot_path"": ""/tmp/location_front_1780654362161.jpg""}]",all multi-tag candidates rejected,2026-06-05-18:13:15,1780654359570-0,
P2A-001,twin-scout-delta,5.45,2.0,270.0,True,5.496145316414818,2.167914359208567,267.8378497862469,0.1741396630737735,2.1621502137530797,4,4,0,"[47, 48, 49, 50]","[{""id"": 47, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 3.2069, ""angle_deg_cw"": 37.0216, ""yaw_deg"": 47.6952, ""bearing_robot_deg_ccw"": -37.02160000000001, ""snapshot_path"": ""/tmp/location_front_1780657524069.jpg""}, {""id"": 48, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 2.3386, ""angle_deg_cw"": 23.1781, ""yaw_deg"": 24.9306, ""bearing_robot_deg_ccw"": -23.1781, ""snapshot_path"": ""/tmp/location_front_1780657524069.jpg""}, {""id"": 49, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 1.9824, ""angle_deg_cw"": -2.4583, ""yaw_deg"": -0.8009, ""bearing_robot_deg_ccw"": 2.4583000000000084, ""snapshot_path"": ""/tmp/location_front_1780657524069.jpg""}, {""id"": 50, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 2.2168, ""angle_deg_cw"": -29.3761, ""yaw_deg"": -34.8019, ""bearing_robot_deg_ccw"": 29.376100000000008, ""snapshot_path"": ""/tmp/location_front_1780657524069.jpg""}]",,2026-06-05-19:05:44,1780657516227-0,
P2A-001,twin-scout-delta,5.45,2.0,270.0,True,5.438582745655464,2.1404826829246524,269.27637530069796,0.14094586868183206,0.7236246993020359,4,4,0,"[47, 48, 49, 50]","[{""id"": 47, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 3.2513, ""angle_deg_cw"": 37.3035, ""yaw_deg"": 47.9347, ""bearing_robot_deg_ccw"": -37.303499999999985, ""snapshot_path"": ""/tmp/location_front_1780658532299.jpg""}, {""id"": 48, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 2.3546, ""angle_deg_cw"": 23.7098, ""yaw_deg"": 25.6415, ""bearing_robot_deg_ccw"": -23.7098, ""snapshot_path"": ""/tmp/location_front_1780658532299.jpg""}, {""id"": 49, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 1.9942, ""angle_deg_cw"": -1.7464, ""yaw_deg"": -0.8009, ""bearing_robot_deg_ccw"": 1.7463999999999942, ""snapshot_path"": ""/tmp/location_front_1780658532299.jpg""}, {""id"": 50, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 2.205, ""angle_deg_cw"": -28.9187, ""yaw_deg"": -34.2671, ""bearing_robot_deg_ccw"": 28.9187, ""snapshot_path"": ""/tmp/location_front_1780658532299.jpg""}]",1 soft outlier(s) kept in fusion,2026-06-05-19:22:32,1780658532366-0,
P2A-001,twin-scout-delta,5.45,2.0,225.0,True,5.3132917847751004,2.301746755333644,215.05737209288802,0.3312706453405729,9.942627907111984,3,3,0,"[46, 47, 48]","[{""id"": 46, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 3.4071, ""angle_deg_cw"": -3.732, ""yaw_deg"": 48.3806, ""bearing_robot_deg_ccw"": 3.7319999999999993, ""snapshot_path"": ""/tmp/location_front_1780658889660.jpg""}, {""id"": 47, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 2.7734, ""angle_deg_cw"": -16.0374, ""yaw_deg"": 38.5158, ""bearing_robot_deg_ccw"": 16.03739999999999, ""snapshot_path"": ""/tmp/location_front_1780658889660.jpg""}, {""id"": 48, ""camera_role"": ""front"", ""camera_offset_deg"": 0.0, ""distance_m"": 2.4547, ""angle_deg_cw"": -32.5696, ""yaw_deg"": 31.2336, ""bearing_robot_deg_ccw"": 32.56960000000001, ""snapshot_path"": ""/tmp/location_front_1780658889660.jpg""}]",best-effort fusion ok,2026-06-05-19:28:29,1780658880651-0,
