sample_uid,observation_uid,tag_id,camera_role,raw_yaw_deg,predicted_yaw_deg,yaw_keep_deg,yaw_flip_deg,yaw_keep_error_deg,yaw_flip_error_deg,yaw_keep_abs_error_deg,yaw_flip_abs_error_deg,best_mode,best_yaw_deg,best_abs_error_deg,branch_separation_deg,accepted,decision
main29_s001,main29_s001_o002,36,front,28.5,34.24730567838117,28.5,-28.5,-5.747305678381167,-62.74730567838117,5.747305678381167,62.74730567838117,keep,28.5,5.747305678381167,57.0,True,accept_keep
main29_s001,main29_s001_o003,37,front,-23.8,20.580183501063402,-23.80000000000001,23.80000000000001,-44.380183501063414,3.219816498936609,44.380183501063414,3.219816498936609,flip,23.80000000000001,3.219816498936609,41.160367002126804,True,accept_flip
main29_s001,main29_s001_o004,38,front,16.4,8.092039255869622,16.400000000000006,-16.400000000000006,8.307960744130384,-24.492039255869628,8.307960744130384,24.492039255869628,keep,16.400000000000006,8.307960744130384,16.184078511739244,True,accept_keep
main29_s001,main29_s001_o005,39,front,27.8,-5.206525583666348,27.80000000000001,-27.80000000000001,33.00652558366636,-22.593474416333663,33.00652558366636,22.593474416333663,flip,-27.80000000000001,22.593474416333663,10.413051167332696,False,reject_small_predicted_yaw
main29_s001,main29_s001_o006,45,rear,11.3,19.730603523142378,11.300000000000011,-11.300000000000011,-8.430603523142366,-31.03060352314239,8.430603523142366,31.03060352314239,keep,11.300000000000011,8.430603523142366,22.600000000000023,True,accept_keep
main29_s002,main29_s002_o007,36,front,39.3,43.061161280674696,39.30000000000001,-39.30000000000001,-3.761161280674685,-82.36116128067471,3.761161280674685,82.36116128067471,keep,39.30000000000001,3.761161280674685,78.60000000000002,True,accept_keep
main29_s002,main29_s002_o008,37,front,24.0,26.27228495795225,24.0,-24.0,-2.2722849579522517,-50.27228495795225,2.2722849579522517,50.27228495795225,keep,24.0,2.2722849579522517,48.0,True,accept_keep
main29_s002,main29_s002_o009,38,front,6.2,10.526070303149027,6.199999999999989,-6.199999999999989,-4.326070303149038,-16.726070303149015,4.326070303149038,16.726070303149015,keep,6.199999999999989,4.326070303149038,12.399999999999977,False,reject_ambiguous_low_separation
main29_s002,main29_s002_o010,39,front,17.9,-6.956253323822693,17.900000000000006,-17.900000000000006,24.8562533238227,-10.943746676177312,24.8562533238227,10.943746676177312,flip,-17.900000000000006,10.943746676177312,13.912506647645387,False,reject_small_predicted_yaw
main29_s002,main29_s002_o011,44,rear,-61.2,-57.22707496899994,-61.2,61.19999999999999,-3.9729250310000452,118.42707496899993,3.9729250310000452,118.42707496899993,keep,-61.2,3.9729250310000452,114.45414993799989,True,accept_keep
main29_s002,main29_s002_o012,45,rear,-2.3,10.283968813994932,-2.3000000000000114,2.3000000000000114,-12.583968813994943,-7.98396881399492,12.583968813994943,7.98396881399492,flip,2.3000000000000114,7.98396881399492,4.600000000000023,False,reject_ambiguous_low_separation
main29_s003,main29_s003_o013,43,front,-58.2,-57.29992552836268,-58.2,58.19999999999999,-0.9000744716373106,115.49992552836267,0.9000744716373106,115.49992552836267,keep,-58.2,0.9000744716373106,114.59985105672536,True,accept_keep
main29_s003,main29_s003_o014,44,front,-68.5,-70.95287216411714,-68.5,68.5,2.4528721641171387,139.45287216411714,2.4528721641171387,139.45287216411714,keep,-68.5,2.4528721641171387,137.0,True,accept_keep
main29_s003,main29_s003_o015,45,front,-2.2,6.221541728979787,-2.1999999999999886,2.1999999999999886,-8.421541728979776,-4.021541728979798,8.421541728979776,4.021541728979798,flip,2.1999999999999886,4.021541728979798,4.399999999999977,False,reject_small_predicted_yaw
main29_s003,main29_s003_o016,46,front,16.8,-12.77126225123186,16.80000000000001,-16.80000000000001,29.57126225123187,-4.028737748768151,29.57126225123187,4.028737748768151,flip,-16.80000000000001,4.028737748768151,25.54252450246372,True,accept_flip
main29_s003,main29_s003_o017,47,front,38.4,-29.335824227976957,38.400000000000006,-38.400000000000006,67.73582422797696,-9.064175772023049,67.73582422797696,9.064175772023049,flip,-38.400000000000006,9.064175772023049,58.671648455953914,False,reject_da_outlier
main29_s003,main29_s003_o018,38,rear,8.2,16.557610267169593,8.199999999999989,-8.199999999999989,-8.357610267169605,-24.757610267169582,8.357610267169605,24.757610267169582,keep,8.199999999999989,8.357610267169605,16.399999999999977,True,accept_keep
main29_s003,main29_s003_o019,39,rear,-2.3,-8.80053664799027,-2.3000000000000114,2.3000000000000114,6.500536647990259,11.100536647990282,6.500536647990259,11.100536647990282,keep,-2.3000000000000114,6.500536647990259,4.600000000000023,False,reject_ambiguous_low_separation
main29_s004,main29_s004_o020,45,front,15.4,4.0561748671858595,15.400000000000006,-15.400000000000006,11.343825132814146,-19.456174867185865,11.343825132814146,19.456174867185865,keep,15.400000000000006,11.343825132814146,8.112349734371719,False,reject_small_predicted_yaw
main29_s004,main29_s004_o021,46,front,-8.2,-9.948178569961442,-8.199999999999989,8.199999999999989,1.7481785699614534,18.14817856996143,1.7481785699614534,18.14817856996143,keep,-8.199999999999989,1.7481785699614534,16.399999999999977,True,accept_keep
main29_s004,main29_s004_o022,47,front,16.1,-22.852611948194067,16.099999999999994,-16.099999999999994,38.95261194819406,6.7526119481940725,38.95261194819406,6.7526119481940725,flip,-16.099999999999994,6.7526119481940725,32.19999999999999,True,accept_flip
main29_s004,main29_s004_o023,48,front,-35.2,-33.65078938518661,-35.19999999999999,35.19999999999999,-1.5492106148133757,68.8507893851866,1.5492106148133757,68.8507893851866,keep,-35.19999999999999,1.5492106148133757,67.30157877037323,True,accept_keep
