camera_role,obs_count,unique_tags,gt_pose_count,distance_mean_clean,distance_median,distance_std_clean,distance_outliers,angle_mean_clean,angle_median,angle_std_clean,angle_outliers,yaw_mean_clean,yaw_median,yaw_std_clean,yaw_outliers,single_pos_err_mean_clean,single_pos_err_median,single_pos_err_std_clean,single_pos_err_outliers,single_heading_err_mean_clean,single_heading_err_median,single_heading_err_std_clean,single_heading_err_outliers
front,227,28,63,-1.2582631578947365,-0.8,4.957689515006654,37,-1.506142857142857,-1.7,3.0803552440027033,17,-3.9927540106951875,-3.9,6.542459456933268,40,36.99780104712042,34.36,33.71941034606811,36,6.251457894736841,5.1,5.731008105066173,37
rear,63,24,37,2.314333333333333,0.1,8.23885387097894,3,4.968516129032258,4.9,3.9237144067372216,1,-2.766190476190476,-1.713,14.111161310954488,0,47.31339285714286,47.99,23.1806875164169,7,13.577015873015872,14.286,9.007419974472057,0
