tag_id,camera_role,metric,count,mean_raw,median,std_raw,mad,robust_sigma,outlier_count,mean_clean,std_clean,min_clean,max_clean
31,front,angle_error_deg,2,4.359,4.359,1.1723830432072957,0.829,1.2290754,0,4.359,1.1723830432072957,3.53,5.188
31,front,distance_error_cm,2,19.015,19.015,0.44547727214752425,0.3149999999999995,0.46701899999999924,0,19.015,0.44547727214752425,18.7,19.33
31,front,single_heading_err_deg,2,5.6035,5.6035,1.0203550852521883,0.7215000000000003,1.0696959000000004,0,5.6035,1.0203550852521883,4.882,6.325
31,front,single_pos_err_cm,2,24.625,24.625,7.162991693419729,5.065000000000001,7.509369000000001,0,24.625,7.162991693419729,19.56,29.69
31,front,yaw_error_deg,2,5.081,5.081,6.751455546769156,4.774,7.0779324,0,5.081,6.751455546769156,0.307,9.855
32,front,angle_error_deg,8,1.0761249999999998,-0.6325000000000001,4.810323227556692,2.122,3.1460771999999997,1,-0.3381428571428572,2.8857658387662846,-2.92,4.8
32,front,distance_error_cm,8,0.09500000000000003,0.355,3.120581447651795,1.33,1.9718579999999999,1,1.0085714285714287,1.889792127646394,-1.15,3.87
32,front,single_heading_err_deg,8,6.106625,4.342,5.8356094782072985,1.5979999999999996,2.3691947999999994,1,4.269857142857143,2.8708959361478916,0.944,9.973
32,front,single_pos_err_cm,8,23.63875,19.35,25.641740211448763,7.1499999999999995,10.600589999999999,1,14.941428571428572,7.815172057332729,5.14,23.68
32,front,yaw_error_deg,8,-3.2192499999999997,-0.806,8.875196106485278,4.55,6.74583,1,-0.553,5.054469210510635,-7.811,6.516
32,rear,angle_error_deg,2,11.261500000000002,11.261500000000002,0.05868986283848358,0.04150000000000009,0.061527900000000135,0,11.261500000000002,0.05868986283848358,11.22,11.303
32,rear,distance_error_cm,2,-4.25,-4.25,1.6829141392239835,1.1900000000000002,1.7642940000000003,0,-4.25,1.6829141392239835,-5.44,-3.06
