dataset,camera_role,obs_count,unique_tags,distance_mean_cm,distance_median_cm,distance_std_cm,angle_mean_deg,angle_median_deg,angle_std_deg,yaw_mean_deg,yaw_median_deg,yaw_std_deg,abs_yaw_median_deg,abs_yaw_p90_deg,single_pos_median_cm,single_h_median_deg
624,front,108,22,-1.3888888888888886,-1.85,7.209784801555119,-0.562962962962963,-1.3,3.8078765538135197,-4.507407407407406,-3.35,24.20702649094685,5.85,43.63999999999999,32.345,5.7
624,rear,30,13,0.2400000000000001,-1.55,7.196531731710578,4.48,4.6,2.4522192622897383,-1.0700000000000003,4.65,13.065436107901458,11.0,18.750000000000004,45.585,12.95
625,front,119,25,3.1665546218487393,0.05,11.28443997220943,-1.505563025210084,-2.001,4.351912676401958,-2.661512605042017,-4.381,17.775932611289655,6.644,32.065000000000005,34.66,4.935
625,rear,33,17,6.412121212121212,5.23,10.613976563232486,5.031909090909091,6.108,5.348158271566696,-4.308181818181818,-5.006,15.031739300673395,12.039,20.895,47.99,14.286
