sample_index,declared_x_m,declared_y_m,preferred_heading_deg,gt_x_m,gt_y_m,gt_heading_deg,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,heading_error_deg,tags_seen,front_count,rear_count,tags_used,used_tag_count,solver_stage,solver_detail,compact_json,compact_csv,obs_json,latest_obs,actual_minus_preferred_heading_deg,abs_actual_minus_preferred_heading_deg,table_tag_count,table_used_tag_count,table_rejected_tag_count,all_mean_abs_distance_error_m,all_mean_abs_angle_error_deg,all_mean_abs_yaw_error_deg,all_max_abs_distance_error_m,all_max_abs_angle_error_deg,all_max_abs_yaw_error_deg,used_mean_abs_distance_error_m,used_mean_abs_angle_error_deg,used_mean_abs_yaw_error_deg,used_max_abs_distance_error_m,used_max_abs_angle_error_deg,used_max_abs_yaw_error_deg,rejected_mean_abs_distance_error_m,rejected_mean_abs_angle_error_deg,rejected_mean_abs_yaw_error_deg,rejected_max_abs_distance_error_m,rejected_max_abs_angle_error_deg,rejected_max_abs_yaw_error_deg,low_tag_flag,heading_override_flag,remeasure_priority
3,2.0,4.0,290.0,2.0,4.0,290.0,2.453,3.99,287.4,0.453,2.59,5,4,1,45;46;47;48;39,5,best_effort_fusion,3 soft outlier(s) kept in fusion,D:\Data\_Action\_RunNMS\testLocation\output\t11_location_collection\compact_x2.00_y4.00_h290_20260629_211410.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_location_collection\compact_x2.00_y4.00_h290_20260629_211410.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_location_collection\obs_x2.00_y4.00_h290_20260629_211410.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,5,5,0,0.0638,2.96,15.12,0.11,5.2,40.1,0.0638,2.96,15.12,0.11,5.2,40.1,,,,,,,N,N,P3_HIGH_ERROR
4,5.0,4.0,245.0,5.0,4.0,245.0,4.355,3.971,255.8,0.646,10.85,7,6,1,44;46;47;48;49;35,6,best_effort_fusion,ignored 1 hard outlier(s); 4 soft outlier(s) kept in fusion,D:\Data\_Action\_RunNMS\testLocation\output\t11_location_collection\compact_x5.00_y4.00_h245_20260629_210336.json,D:\Data\_Action\_RunNMS\testLocation\output\t11_location_collection\compact_x5.00_y4.00_h245_20260629_210336.csv,D:\Data\_Action\_RunNMS\testLocation\output\t11_location_collection\obs_x5.00_y4.00_h245_20260629_210336.json,D:\Data\_Action\_RunNMS\testLocation\input\latest_location_observation_twin-scout-charlie.json,0.0,0.0,7,6,1,0.05657142857142857,2.1,27.357142857142858,0.136,5.7,82.7,0.0625,2.1333333333333333,18.133333333333333,0.136,5.7,64.8,0.021,1.9,82.7,0.021,1.9,82.7,N,N,P3_HIGH_ERROR
