stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score
pass1,main29_s001,main29_s001_o002,36,front,4.432,4.433970967070862,0.00197096707086164,0.0394193414172328,1.5,4.338134216493643,2.8381342164936427,0.9460447388312142,True,28.5,34.49274383568968,5.99274383568968,1.9975812785632268,1.2763078908599712
pass1,main29_s001,main29_s001_o003,37,front,4.444,4.412232428599204,-0.031767571400796335,-0.6353514280159267,-12.1,-9.310824948999084,2.7891750510009103,0.9297250170003034,True,23.8,20.84378467019701,-2.956215329803001,-0.9854051099343337,0.8639219245207266
pass1,main29_s001,main29_s001_o004,38,front,4.09,4.167902285507056,0.07790228550705613,1.5580457101411227,-21.9,-21.780924589369533,0.11907541063047233,0.03969180354349078,True,16.4,8.373685029826447,-8.026314970173559,-2.675438323391186,1.7876476252725657
pass1,main29_s001,main29_s001_o005,39,front,4.094,4.138811655425679,0.04481165542567833,0.8962331085135666,-29.3,-35.08947732717863,-5.789477327178616,-1.3645928925245894,False,,,,,1.1544149052928319
pass1,main29_s001,main29_s001_o006,45,rear,0.833,0.9025454384524146,0.06954543845241468,1.3909087690482935,-9.3,-11.698213066155745,-2.3982130661557335,-0.7994043553852445,False,,,,,1.1343884976550884
pass1,main29_s002,main29_s002_o007,36,front,3.655,3.636469472712549,-0.01853052728745075,-0.370610545749015,24.2,23.730065898218697,-0.46993410178129125,-0.15664470059376376,True,39.3,42.89260480633948,3.592604806339466,1.1975349354464886,0.729378653480554
pass1,main29_s002,main29_s002_o008,37,front,3.484,3.488591018674004,0.0045910186740041325,0.09182037348008265,5.4,6.924823825649469,1.524823825649463,0.508274608549821,True,24.0,26.087362733770306,2.0873627337703056,0.6957875779234352,0.5002980485920554
pass1,main29_s002,main29_s002_o009,38,front,3.169,3.184808370371874,0.01580837037187388,0.3161674074374776,-10.8,-8.832805719804213,1.9671942801957982,0.6557314267319327,False,,,,,0.514755055113416
pass1,main29_s002,main29_s002_o010,39,front,3.11,3.1576065962067816,0.04760659620678176,0.9521319241356352,-24.2,-26.292497987794633,-2.092497987794644,-0.6974993292648813,False,,,,,0.8345838829270508
pass1,main29_s002,main29_s002_o011,44,rear,1.434,1.46655196131569,0.03255196131569016,0.6510392263138032,15.0,14.047774663007544,-0.9522253369924556,-0.2244416643350036,False,,,,,0.4869425709920739
pass1,main29_s002,main29_s002_o012,45,rear,1.865,1.8680083504118117,0.003008350411811689,0.06016700823623378,-8.1,-8.542937320620354,-0.4429373206203593,-0.14764577354011976,False,,,,,0.1127371795912053
pass1,main29_s003,main29_s003_o013,43,front,1.45,1.4204953839881829,-0.029504616011817086,-0.5900923202363417,25.3,25.76406926405616,0.4640692640561497,0.10938217451811799,True,-58.2,-57.17831753332047,1.021682466679522,0.24081286680282962,0.37334713218041404
pass1,main29_s003,main29_s003_o014,44,front,2.361,2.351361177775978,-0.009638822224022014,-0.1927764444804403,10.4,12.056269536591117,1.656269536591111,0.5520898455303703,True,-68.5,-70.88611726078551,-2.386117260785511,-0.795372420261837,0.5699658592107193
pass1,main29_s003,main29_s003_o015,45,front,2.844,2.8477566437673723,0.003756643767372392,0.07513287534744784,-3.7,-0.7890033835435588,2.91099661645643,0.9703322054854766,False,,,,,0.6881822207672487
pass1,main29_s003,main29_s003_o016,46,front,2.897,2.902188823924012,0.005188823924012098,0.10377647848024196,-20.4,-19.798475596816388,0.6015244031836176,0.20050813439453918,True,-16.8,-12.740862394193016,4.0591376058069955,1.353045868602332,0.7919819425521387
pass1,main29_s003,main29_s003_o017,47,front,3.199,3.246737274390947,0.04773727439094699,0.9547454878189399,-29.8,-36.38104798844063,-6.581047988440616,-1.551167886646816,False,,,,,1.2879558919223466
pass1,main29_s003,main29_s003_o018,38,rear,2.221,2.2236853308407674,0.002685330840767275,0.0537066168153455,12.2,9.429506595834653,-2.770493404165336,-0.6530115577726372,False,,,,,0.46330794039946943
pass1,main29_s003,main29_s003_o019,39,rear,2.153,2.1579348006126096,0.004934800612609536,0.09869601225219071,-14.7,-15.905577549067175,-1.2055775490671863,-0.28415735339722176,False,,,,,0.21270437739289494
pass1,main29_s004,main29_s004_o020,45,front,3.823,3.8846112198829323,0.06161121988293239,1.2322243976586478,24.0,23.299277382330047,-0.7007226176699533,-0.23357420588998443,False,,,,,0.8868297119070702
