stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score,rejected_from_pass2
final,main29_s001,main29_s001_o002,36,front,4.432,4.44423694533171,0.012236945331709492,0.24473890663418985,1.5,3.6495542045259413,2.1495542045259413,0.7165180681753137,True,28.5,34.08370784143244,5.583707841432442,1.8612359471441475,1.1600997838381193,False
final,main29_s001,main29_s001_o003,37,front,4.444,4.429676469126911,-0.014323530873088686,-0.2864706174617737,-12.1,-9.958171258469207,2.1418287415307873,0.7139429138435958,True,23.8,20.47598237843738,-3.324017621562632,-1.1080058738542107,0.7787718783212122,False
final,main29_s001,main29_s001_o004,38,front,4.09,4.191054583831798,0.10105458383179844,2.021091676635969,-21.9,-22.38881543963845,-0.48881543963844365,-0.1629384798794812,True,16.4,8.045338197268165,-8.35466180273184,-2.7848872675772802,1.9888822327048157,True
final,main29_s001,main29_s001_o005,39,front,4.094,4.1668431009792535,0.07284310097925317,1.4568620195850635,-29.3,-35.617340363988774,-6.317340363988762,-1.4890114034799822,False,,,,,1.473024423389323,False
final,main29_s001,main29_s001_o006,45,rear,0.833,0.8845675602072804,0.05156756020728048,1.0313512041456097,-9.3,-10.224269363478811,-0.9242693634787997,-0.30808978782626656,False,,,,,0.7611191180279974,False
final,main29_s002,main29_s002_o007,36,front,3.655,3.636469472712549,-0.01853052728745075,-0.370610545749015,24.2,23.730065898218697,-0.46993410178129125,-0.15664470059376376,True,39.3,42.89260480633948,3.592604806339466,1.1975349354464886,0.729378653480554,False
final,main29_s002,main29_s002_o008,37,front,3.484,3.488591018674004,0.0045910186740041325,0.09182037348008265,5.4,6.924823825649469,1.524823825649463,0.508274608549821,True,24.0,26.087362733770306,2.0873627337703056,0.6957875779234352,0.5002980485920554,False
final,main29_s002,main29_s002_o009,38,front,3.169,3.184808370371874,0.01580837037187388,0.3161674074374776,-10.8,-8.832805719804213,1.9671942801957982,0.6557314267319327,False,,,,,0.514755055113416,False
final,main29_s002,main29_s002_o010,39,front,3.11,3.1576065962067816,0.04760659620678176,0.9521319241356352,-24.2,-26.292497987794633,-2.092497987794644,-0.6974993292648813,False,,,,,0.8345838829270508,False
final,main29_s002,main29_s002_o011,44,rear,1.434,1.46655196131569,0.03255196131569016,0.6510392263138032,15.0,14.047774663007544,-0.9522253369924556,-0.2244416643350036,False,,,,,0.4869425709920739,False
final,main29_s002,main29_s002_o012,45,rear,1.865,1.8680083504118117,0.003008350411811689,0.06016700823623378,-8.1,-8.542937320620354,-0.4429373206203593,-0.14764577354011976,False,,,,,0.1127371795912053,False
final,main29_s003,main29_s003_o013,43,front,1.45,1.4204953839881829,-0.029504616011817086,-0.5900923202363417,25.3,25.76406926405616,0.4640692640561497,0.10938217451811799,True,-58.2,-57.17831753332047,1.021682466679522,0.24081286680282962,0.37334713218041404,False
