group_key,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,residual,abs_residual,classification,enabled,weight_multiplier,state,reason
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,47,front,angle,2.8821208036744395,2.8821208036744395,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,38,rear,yaw,-20.381240349845882,20.381240349845882,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,39,rear,yaw,6.307309810358731,6.307309810358731,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,43,front,yaw,-2.6643507104364517,2.6643507104364517,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,45,front,yaw,-4.423509231592135,4.423509231592135,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,46,front,yaw,28.764323160711967,28.764323160711967,BAD,False,0.0,DISABLED,bad_yaw_outlier
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,47,front,yaw,-8.16162919632555,8.16162919632555,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,38,front,distance,0.0010978776240964105,0.0010978776240964105,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,39,front,distance,0.0002953064656368021,0.0002953064656368021,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,38,front,angle,0.5787418135379312,0.5787418135379312,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,39,front,angle,-0.641364801194527,0.641364801194527,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,38,front,yaw,-0.17125818646201196,0.17125818646201196,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,39,front,yaw,-5.191364801194453,5.191364801194453,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,40,front,distance,-0.0038232117938707955,0.0038232117938707955,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,41,front,distance,-0.0028085250864430256,0.0028085250864430256,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,40,front,angle,-0.5247911914109409,0.5247911914109409,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,41,front,angle,0.6139236223684748,0.6139236223684748,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,40,front,yaw,2.881458808589059,2.881458808589059,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,41,front,yaw,-7.779826377631537,7.779826377631537,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,39,rear,distance,-0.07883891411728983,0.07883891411728983,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,42,front,distance,0.03782470318547948,0.03782470318547948,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,45,front,distance,-0.03755299226038655,0.03755299226038655,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,46,front,distance,-0.029028261375890096,0.029028261375890096,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,47,front,distance,-0.003220537874328855,0.003220537874328855,GOOD,True,1.0,USED_NORMAL,good_distance
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,39,rear,angle,2.6195489973098347,2.6195489973098347,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,42,front,angle,-0.66399079527514,0.66399079527514,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,45,front,angle,-1.5299791178069029,1.5299791178069029,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,46,front,angle,-1.1818394348676406,1.1818394348676406,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,47,front,angle,1.9271806802120466,1.9271806802120466,GOOD,True,1.0,USED_NORMAL,good_angle
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,39,rear,yaw,14.619548997309892,14.619548997309892,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,42,front,yaw,-3.9639907952751514,3.9639907952751514,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,45,front,yaw,-15.929979117806909,15.929979117806909,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,46,front,yaw,-5.281839434867663,5.281839434867663,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,47,front,yaw,-8.472819319787959,8.472819319787959,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,41,rear,distance,0.017411862257799005,0.017411862257799005,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,42,rear,distance,0.07070829382564225,0.07070829382564225,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,55,front,distance,0.042903135964042605,0.042903135964042605,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,41,rear,angle,2.226209548145789,2.226209548145789,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,42,rear,angle,1.7340904913056079,1.7340904913056079,GOOD,True,1.0,USED_NORMAL,good_angle
