group_key,dataset,observation_count,gt_x,gt_y,gt_h,initial_x,initial_y,initial_h,pass1_ok,pass1_x,pass1_y,pass1_h,pass1_pos_err_cm,pass1_heading_err_deg,pass1_distance_rms_cm,pass1_angle_rms_deg,pass1_yaw_rms_deg,filtered_ok,filtered_x,filtered_y,filtered_h,filtered_pos_err_cm,filtered_heading_err_deg,filtered_distance_rms_cm,filtered_angle_rms_deg,filtered_yaw_rms_deg,filter_shift_pos_cm,filter_shift_heading_deg,filter_total,filter_enabled,filter_disabled,distance_enabled,angle_enabled,yaw_enabled,distance_disabled,angle_disabled,yaw_disabled,confidence,ok_for_true_location_update,ok_for_correction_motion,reason,distance_items,angle_items,yaw_items,distance_tag_count,angle_tag_count,yaw_tag_count,distance_bearing_span_deg,angle_bearing_span_deg,distance_rms_cm,distance_max_abs_cm,angle_rms_deg,angle_max_abs_deg,yaw_rms_deg,yaw_max_abs_deg,solver_ok,solver_detail
624_x2.000_y3.000_h0.0,624,1,2.0,3.0,0.0,2.2,2.85,20.0,False,2.2,2.85,20.0,25.00000000000001,20.0,21.868724780010407,23.68302745306255,7.983027453062533,False,2.2,2.85,20.0,25.00000000000001,20.0,21.868724780010407,nan,7.983027453062533,0.0,0.0,3,2,1,1,0,1,0,1,0,FAILED,False,False,solver_failed: not enough enabled distance/angle items after filtering,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,False,not enough enabled distance/angle items after filtering
624_x2.000_y3.000_h90.0,624,6,2.0,3.0,90.0,2.2,2.85,110.0,True,1.9687499999999998,3.0281250000000006,89.6875,4.2042575147105925,0.3125,2.609162176816467,2.0824082985109333,5.17932457986163,True,1.9687499999999998,3.0281250000000006,89.6875,4.2042575147105925,0.3125,2.609162176816467,2.0824082985109333,5.17932457986163,0.0,0.0,18,18,0,6,6,6,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,6,6,6,6,210.51919146133457,210.51919146133457,2.609162176816467,5.9399897317338635,2.0824082985109333,3.442984391791896,5.17932457986163,10.565763231115682,True,ok
624_x2.000_y3.000_h180.0,624,2,2.0,3.0,180.0,2.2,2.85,200.0,True,2.00625,3.0000000000000004,176.5625,0.6250000000000089,3.4375,0.1378428188971577,0.1225793381888656,6.596166306417272,True,2.00625,3.0000000000000004,176.5625,0.6250000000000089,3.4375,0.1378428188971577,0.1225793381888656,6.596166306417272,0.0,0.0,6,6,0,2,2,2,0,0,0,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,2,2,2,2,2,2,58.60391652685212,58.60391652685212,0.1378428188971577,0.16556649680554703,0.1225793381888656,0.1406829600729509,6.596166306417272,9.196817039927055,True,ok
624_x2.000_y3.000_h270.0,624,6,2.0,3.0,270.0,2.2,2.85,290.0,True,1.99375,2.9875,270.15625,1.3975424859373884,0.15625,1.8188944565535725,2.3457579584914408,15.142884973392631,True,1.9906249999999999,2.9875,270.15625,1.5625000000000222,0.15625,1.871012751707014,2.3040258912674108,10.475530857831869,0.31250000000000444,0.0,18,17,1,6,6,5,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,5,6,6,5,219.74655934879297,219.74655934879297,1.871012751707014,2.7605900888593826,2.3040258912674108,3.1855964722292924,10.475530857831869,20.458153527770776,True,ok
624_x2.000_y4.000_h90.0,624,2,2.0,4.0,90.0,2.2,3.85,110.0,True,1.9843750000000009,3.9999999999999996,88.75,1.5624999999999112,1.25,0.08039095677184341,0.6108563231024414,3.6728461624134887,True,1.9843750000000009,3.9999999999999996,88.75,1.5624999999999112,1.25,0.08039095677184341,0.6108563231024414,3.6728461624134887,0.0,0.0,6,6,0,2,2,2,0,0,0,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,2,2,2,2,2,2,42.96155969443055,42.96155969443055,0.08039095677184341,0.10978776240964105,0.6108563231024414,0.641364801194527,3.6728461624134887,5.191364801194453,True,ok
624_x2.000_y4.000_h180.0,624,2,2.0,4.0,180.0,2.2,3.85,200.0,True,2.01875,4.015625,178.90625,2.440703023720816,1.09375,0.33544568548404785,0.5710989444415672,5.866366138065665,True,2.01875,4.015625,178.90625,2.440703023720816,1.09375,0.33544568548404785,0.5710989444415672,5.866366138065665,0.0,0.0,6,6,0,2,2,2,0,0,0,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,2,2,2,2,2,2,60.972964688098955,60.972964688098955,0.33544568548404785,0.38232117938707955,0.5710989444415672,0.6139236223684748,5.866366138065665,7.779826377631537,True,ok
624_x2.000_y4.000_h270.0,624,5,2.0,4.0,270.0,2.2,3.85,290.0,True,2.0156249999999996,3.978125,267.5,2.6882266459508024,2.5,4.451858398619313,1.7178199352920023,10.797177090749509,True,2.0156249999999996,3.978125,267.5,2.6882266459508024,2.5,4.451858398619313,1.7178199352920023,10.797177090749509,0.0,0.0,15,15,0,5,5,5,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,185.9194717616847,185.9194717616847,4.451858398619313,7.883891411728983,1.7178199352920023,2.6195489973098347,10.797177090749509,15.929979117806909,True,ok
624_x3.000_y3.000_h0.0,624,3,3.0,3.0,0.0,3.2,2.85,20.0,True,2.9,2.9718750000000003,359.84375,10.387981336621664,0.15625,4.879725005423649,1.9028217767217563,18.262490367533,True,2.9,2.971875,359.84375,10.387981336621676,0.15625,4.879725005423646,1.902821776721748,12.28838119904442,4.440892098500626e-14,0.0,9,8,1,3,3,2,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,3,3,2,3,3,2,193.39964020636188,193.39964020636188,4.879725005423646,7.070829382564225,1.902821776721748,2.226209548145789,12.28838119904442,16.458928289521424,True,ok
624_x3.000_y3.000_h90.0,624,5,3.0,3.0,90.0,3.2,2.85,110.0,True,2.9718750000000003,3.0031250000000003,90.78125,2.8298078556679194,0.78125,0.974607801477957,3.1926132223413513,6.042924304860089,True,2.9718750000000003,3.0031250000000003,90.78125,2.8298078556679194,0.78125,0.974607801477957,3.1926132223413513,6.042924304860089,0.0,0.0,15,15,0,5,5,5,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,215.1662142432957,215.1662142432957,0.974607801477957,1.5980600583853644,3.1926132223413513,4.90607901057956,6.042924304860089,9.412670989420462,True,ok
624_x3.000_y3.000_h180.0,624,4,3.0,3.0,180.0,3.2,2.85,200.0,True,3.015625,3.0125,180.0,2.0009763241977763,0.0,1.5489461448755084,3.9366603548981964,49.183507667204644,True,3.0124999999999997,3.00625,178.75,1.3975424859373486,1.25,1.4401352833780716,4.113754378849414,11.849382447151841,0.6987712429687041,1.25,12,11,1,4,4,3,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,3,4,4,3,78.51089662477955,78.51089662477955,1.4401352833780716,2.0578255474005935,4.113754378849414,7.873971995551926,11.849382447151841,17.62827495623756,True,ok
