group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_cm,distance_weight,measured_angle_deg,predicted_angle_deg,angle_residual_deg,angle_weight,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,yaw_weight
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,2.2,2.85,20.0,49,front,4.449,4.230312752199896,21.868724780010407,0.25,37.2,60.88302745306254,-23.68302745306255,0.0,-57.1,-49.11697254693746,-7.983027453062533,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,37,front,2.672,2.6662037068146898,0.5796293185310386,1.0,36.9,37.129773791956325,-0.22977379195631897,0.5,40.7,37.44227379195627,3.257726208043721,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,38,front,2.218,2.217660515505016,0.033948449498399924,1.0,15.8,17.02737788794309,-1.227377887943078,0.5,15.2,17.33987788794309,-2.1398778879431006,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,39,front,2.147,2.1378947864260183,0.910521357398153,1.0,-10.8,-8.353436374314384,-2.446563625685627,0.5,-12.2,-8.040936374314356,-4.159063625685633,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,40,front,1.787,1.790453930746181,-0.34539307461811664,1.0,-23.8,-25.750105352383855,1.9501053523838436,0.5,60.5,64.56239464761614,-4.062394647616145,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,45,rear,2.848,2.868681918223602,-2.0681918223602214,0.5,9.1,5.6570156082080985,3.442984391791896,0.2,5.4,5.9695156082080985,-0.5695156082080928,0.01
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,46,rear,2.986,2.9266001026826616,5.9399897317338635,0.5,-11.5,-13.178263231115693,1.678263231115693,0.2,-2.3,-12.865763231115693,10.565763231115682,0.0025
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.00625,3.0000000000000004,176.5625,41,front,1.023,1.0246556649680554,-0.16556649680554703,1.0,39.3,39.40129014289036,-0.10129014289037741,0.5,44.4,42.83879014289036,1.5612098571096453,0.05
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.00625,3.0000000000000004,176.5625,42,front,0.775,0.773970970331887,0.1029029668113024,1.0,-22.4,-22.540682960072957,0.1406829600729509,0.5,-28.3,-19.103182960072957,-9.196817039927055,0.05
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,38,rear,2.216,2.2311363513001776,-1.513635130017743,0.5,20.0,16.814403527770708,3.1855964722292924,0.2,-3.8,16.658153527770764,-20.458153527770776,0.0025
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,39,rear,2.171,2.1613830570951826,0.9616942904817183,0.5,-6.8,-8.369152630061194,1.5691526300611827,0.2,-2.3,-8.525402630061194,6.225402630061183,0.01
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,43,front,1.455,1.428320981292667,2.6679018707333135,1.0,32.3,32.815187937369075,-0.5151879373690917,0.5,-59.9,-57.341062062630925,-2.5589379373690804,0.05
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,45,front,2.823,2.850605900888594,-2.7605900888593826,1.0,4.2,6.617354933726858,-2.4173549337268696,0.5,2.1,6.461104933726858,-4.361104933726864,0.05
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,46,front,2.915,2.9015481252242177,1.3451874775782358,1.0,-14.5,-12.368326945606782,-2.131673054393218,0.5,16.3,-12.524576945606782,28.824576945606793,0.0
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.9906249999999999,2.9875,270.15625,47,front,3.227,3.238135967433179,-1.113596743317924,1.0,-25.9,-28.83051078964496,2.9305107896449556,0.5,-37.1,-28.98676078964496,-8.113239210355033,0.05
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,1.9843750000000009,3.9999999999999996,88.75,38,front,1.315,1.3139021223759035,0.10978776240964105,1.0,28.7,28.121258186462057,0.5787418135379312,0.5,29.2,29.371258186462,-0.17125818646201196,0.05
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,1.9843750000000009,3.9999999999999996,88.75,39,front,1.188,1.1877046935343631,0.029530646563680207,1.0,-17.3,-16.658635198805484,-0.641364801194527,0.5,-20.6,-15.408635198805541,-5.191364801194453,0.05
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.01875,4.015625,178.90625,40,front,1.021,1.0248232117938707,-0.38232117938707955,1.0,40.2,40.72479119141093,-0.5247911914109409,0.5,44.7,41.81854119141093,2.881458808589059,0.05
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.01875,4.015625,178.90625,41,front,0.824,0.826808525086443,-0.28085250864430256,1.0,-23.0,-23.613923622368475,0.6139236223684748,0.5,-30.3,-22.520173622368475,-7.779826377631537,0.05
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,39,rear,1.12,1.19883891411729,-7.883891411728983,0.5,-16.8,-19.419548997309846,2.6195489973098347,0.2,-2.3,-16.919548997309903,14.619548997309892,0.0025
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,42,front,1.454,1.4161752968145205,3.782470318547948,1.0,30.9,31.563990795275146,-0.66399079527514,0.5,-59.9,-55.936009204724854,-3.9639907952751514,0.05
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,45,front,3.801,3.8385529922603867,-3.7552992260386553,1.0,1.1,2.629979117806897,-1.5299791178069029,0.5,-10.8,5.129979117806897,-15.929979117806909,0.0125
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,46,front,3.842,3.87102826137589,-2.9028261375890096,1.0,-12.7,-11.518160565132348,-1.1818394348676406,0.5,-14.3,-9.018160565132348,-5.281839434867663,0.05
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.0156249999999996,3.978125,267.5,47,front,4.121,4.124220537874329,-0.3220537874328855,1.0,-22.6,-24.52718068021204,1.9271806802120466,0.5,-30.5,-22.02718068021204,-8.472819319787959,0.05
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,2.9,2.971875,359.84375,41,rear,1.798,1.7805881377422013,1.7411862257798782,0.5,26.2,23.9737904518542,2.226209548145789,0.2,-2.3,24.1300404518542,-26.43004045185421,0.0
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,2.9,2.971875,359.84375,42,rear,1.691,1.6202917061743578,7.070829382564225,0.5,-6.3,-8.03409049130559,1.7340904913055795,0.2,-2.3,-7.877840491305591,5.5778404913055795,0.01
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,2.9,2.971875,359.84375,55,front,7.295,7.252096864035957,4.2903135964042605,1.0,8.0,9.70267828952143,-1.7026782895214296,0.5,-6.6,9.85892828952143,-16.458928289521424,0.0125
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,36,front,2.316,2.300019399416146,1.5980600583853644,1.0,42.3,43.79029277941572,-1.4902927794157108,0.5,45.9,43.00904277941572,2.8909572205842835,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,37,front,2.226,2.2294969360668486,-0.3496936066848644,1.0,15.4,16.897373126010564,-1.497373126010558,0.5,14.9,16.116123126010507,-1.2161231260105012,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,38,front,2.156,2.1688745320826297,-1.2874532082629564,1.0,-11.1,-8.267922923070586,-2.8320770769294086,0.5,-14.0,-9.049172923070614,-4.950827076929386,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,39,front,2.5,2.5061079154541264,-0.6107915454126367,1.0,-26.7,-30.49611976401542,3.7961197640154296,0.5,-39.0,-31.27736976401542,-7.722630235984582,0.05
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,46,rear,2.848,2.850064417335023,-0.2064417335023272,0.5,12.8,7.893920989420451,4.90607901057956,0.2,-2.3,7.112670989420451,-9.412670989420462,0.01
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,40,front,2.425,2.439995568148217,-1.499556814821723,1.0,41.8,42.67127757675638,-0.8712775767563699,0.5,-52.4,43.92127757675638,-96.32127757675639,0.0
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,41,front,1.894,1.889041558552046,0.49584414479539873,1.0,19.6,20.25698066500297,-0.6569806650029761,0.5,19.3,21.50698066500297,-2.206980665002959,0.05
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,42,front,1.769,1.7564828897209417,1.251711027905822,1.0,-11.8,-9.678274956237573,-2.1217250437624386,0.5,9.2,-8.428274956237573,17.62827495623756,0.0125
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.0124999999999997,3.00625,178.75,43,front,2.136,2.156578255474006,-2.0578255474005935,1.0,-29.7,-37.573971995551915,7.873971995551926,0.25,-46.6,-36.323971995551915,-10.27602800444808,0.0125
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,37,rear,2.156,2.203172391701942,-4.717239170194176,0.5,20.4,16.089063721044795,4.310936278955211,0.2,-2.3,15.307813721044795,-17.607813721044806,0.0025
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,38,rear,2.127,2.158426545655884,-3.142654565588421,0.5,-7.0,-9.314332978617358,2.314332978617358,0.2,-2.3,-10.095582978617358,7.795582978617347,0.01
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,44,front,2.874,2.863528434295726,1.0471565704273988,1.0,38.1,39.47419467793662,-1.3741946779366288,0.5,-56.3,-51.30705532206338,-4.992944677936634,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,45,front,3.141,3.144835274069579,-0.38352740695790644,1.0,24.8,26.003787323766232,-1.203787323766221,0.5,25.5,25.222537323766232,0.2774626762337675,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,46,front,2.849,2.8716287273037144,-2.2628727303714236,1.0,5.6,8.589309306962491,-2.9893093069624967,0.5,-10.0,7.808059306962491,-17.80805930696249,0.0125
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,47,front,2.906,2.8976571040028363,0.8342895997163868,1.0,-13.2,-10.157843887601757,-3.0421561123982315,0.5,-14.8,-10.939093887601757,-3.860906112398254,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,48,front,3.178,3.2161590972496636,-3.815909724966371,1.0,-25.2,-27.01676509270061,1.8167650927006207,0.5,-37.4,-27.79801509270061,-9.601984907299396,0.05
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0000000000000004,270.78125,49,front,3.747,3.7479386979677143,-0.0938697967714397,1.0,-31.2,-39.835125183085495,8.635125183085506,0.25,-51.1,-40.616375183085495,-10.4836248169145,0.0125
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,36,front,1.669,1.6878882156187025,-1.8888215618702464,1.0,-25.8,-26.400465706203022,0.6004657062030105,0.5,60.8,68.13078429379698,-7.330784293796967,0.05
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,40,rear,1.798,1.7427819522232824,5.521804777671768,0.5,22.0,14.853601414964288,7.146398585035712,0.1,11.5,19.384851414964288,-7.884851414964288,0.01
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,41,rear,1.732,1.6971709859965443,3.4829014003455727,0.5,-12.4,-18.91315946436734,6.513159464367334,0.1,-2.3,-14.38190946436734,12.081909464367328,0.0025
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,56,front,7.384,7.255272016471626,12.872798352837478,0.5,4.6,6.283040089497945,-1.6830400894979505,0.5,7.6,10.814290089497945,-3.2142900894979505,0.05
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9187499999999997,4.115625,355.46875,57,front,7.133,7.1345890665956215,-0.15890665956215244,1.0,-3.8,-1.7894859994428316,-2.0105140005571798,0.5,14.6,2.7417640005571684,11.858235999442826,0.0125
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,3.2,3.85,110.0,38,front,1.21,1.4104736732129295,-20.047367321292953,0.25,-18.5,-3.003218072170455,-15.496781927829545,0.125,-22.6,-23.00321807217051,0.4032180721705174,0.05
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9937500000000004,4.01875,179.0625,39,front,1.745,1.7329084264583712,1.209157354162893,1.0,40.8,41.995149182323445,-1.195149182323462,0.5,-54.5,-47.067350817676584,-7.432649182323416,0.05
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9937500000000004,4.01875,179.0625,40,front,1.847,1.8671243746467348,-2.0124374646734777,1.0,19.5,20.4321732090053,-0.932173209005299,0.5,-25.9,21.3696732090053,-47.269673209005305,0.0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9937500000000004,4.01875,179.0625,41,front,1.778,1.767895138541558,1.0104861458442027,1.0,-13.3,-11.35433729708069,-1.9456627029193214,0.5,-14.8,-10.41683729708069,-4.383162702919321,0.05
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9937500000000004,4.01875,179.0625,42,front,2.124,2.1368522942256076,-1.285229422560752,1.0,-29.8,-37.390864785125956,7.5908647851259445,0.25,-47.2,-36.453364785125956,-10.746635214874061,0.0125
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,38,rear,1.114,1.2413075654071017,-12.730756540710164,0.25,-13.8,-29.18194046334588,15.38194046334587,0.1,-2.3,-23.55694046334588,21.25694046334587,0.0025
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,45,front,4.153,4.0955306966534915,5.746930334650813,1.0,14.3,15.010586070758649,-0.7105860707586373,0.5,-20.7,20.63558607075865,-41.335586070758666,0.0
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,46,front,3.83,3.86438733545118,-3.438733545117989,1.0,-0.5,1.7098624551986745,-2.2098624551986745,0.5,7.4,7.3348624551986745,0.06513754480133116,0.05
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,47,front,3.843,3.8587011351885683,-1.5701135188568305,1.0,-13.9,-12.271830263701759,-1.628169736298247,0.5,11.5,-6.646830263701759,18.14683026370176,0.0125
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.11875,3.9875,264.375,48,front,4.049,4.079300459866861,-3.0300459866860585,1.0,-23.6,-25.64649533062635,2.0464953306263567,0.5,28.9,-20.02149533062635,48.92149533062636,0.0
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,33,front,3.939,3.9232614768857035,1.5738523114296576,1.0,-28.2,-28.805232746580117,0.6052327465801284,0.5,57.1,54.944767253419855,2.1552327465801397,0.05
