x_m,y_m,room,best_heading_deg,backup_heading_deg,best_status,backup_status,best_score,backup_score,best_front_good_count,best_rear_good_count,best_good_total_count,best_effective_good_count,best_front_weighted_count,best_rear_weighted_count,best_geometry_span_deg,best_front_good_tag_ids,best_rear_good_tag_ids,best_all_good_tag_ids,backup_front_good_tag_ids,backup_rear_good_tag_ids,backup_all_good_tag_ids
4.0,0.0,inner,115.0,145.0,GOOD,GOOD,56.460525,50.153711,8,0,8,5.0,5.0,0.0,64.605,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.1,0.0,inner,115.0,145.0,GOOD,GOOD,56.431039,50.11041,8,0,8,5.0,5.0,0.0,64.31,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.2,0.0,inner,120.0,150.0,GOOD,GOOD,53.396605,47.065414,8,0,8,4.7,4.7,0.0,63.966,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.3,0.0,inner,120.0,150.0,GOOD,GOOD,53.357616,47.019009,8,0,8,4.7,4.7,0.0,63.576,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.4,0.0,inner,120.0,150.0,GOOD,GOOD,53.314449,46.97145,8,0,8,4.7,4.7,0.0,63.144,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.5,0.0,inner,120.0,150.0,GOOD,GOOD,53.267458,46.922961,8,0,8,4.7,4.7,0.0,62.675,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.6,0.0,inner,135.0,100.0,GOOD,GOOD,56.714523,44.216448,8,0,8,5.0,5.0,0.0,67.145,37 38 39 40 41 42 43 44,,37 38 39 40 41 42 43 44,34 35 36 37 38 39 40 41,,34 35 36 37 38 39 40 41
4.7,0.0,inner,135.0,95.0,GOOD,GOOD,53.641901,41.42008,8,0,8,4.7,4.7,0.0,66.419,37 38 39 40 41 42 43 44,,37 38 39 40 41 42 43 44,33 34 35 36 37 38 39 40,,33 34 35 36 37 38 39 40
4.8,0.0,inner,135.0,95.0,GOOD,GOOD,49.568324,37.410371,7,0,7,4.3,4.3,0.0,65.683,37 38 40 41 42 43 44,,37 38 40 41 42 43 44,33 34 35 36 37 38 40,,33 34 35 36 37 38 40
4.9,0.0,inner,135.0,95.0,GOOD,GOOD,46.493993,37.397727,7,0,7,4.0,4.0,0.0,64.94,37 38 40 41 42 43 44,,37 38 40 41 42 43 44,33 34 35 36 37 38 40,,33 34 35 36 37 38 40
5.0,0.0,inner,135.0,95.0,GOOD,GOOD,46.419087,37.382182,7,0,7,4.0,4.0,0.0,64.191,37 38 40 41 42 43 44,,37 38 40 41 42 43 44,33 34 35 36 37 38 40,,33 34 35 36 37 38 40
5.1,0.0,inner,140.0,105.0,GOOD,MARGINAL,42.343771,33.106101,6,0,6,3.6,3.6,0.0,63.438,37 38 41 42 43 44,,37 38 41 42 43 44,34 35 36 37 38 41,,34 35 36 37 38 41
5.2,0.0,inner,140.0,105.0,GOOD,MARGINAL,42.268197,33.074774,6,0,6,3.6,3.6,0.0,62.682,37 38 41 42 43 44,,37 38 41 42 43 44,34 35 36 37 38 41,,34 35 36 37 38 41
5.3,0.0,inner,140.0,75.0,GOOD,GOOD,39.192501,37.625163,6,0,6,3.3,3.3,0.0,61.925,37 38 41 42 43 44,,37 38 41 42 43 44,31 32 33 34 35 36 37,,31 32 33 34 35 36 37
5.4,0.0,inner,35.0,140.0,GOOD,GOOD,40.045258,39.116812,7,0,7,3.4,3.4,0.0,60.453,31 32 33 54 55 56 57,,31 32 33 54 55 56 57,37 38 41 42 43 44,,37 38 41 42 43 44
5.5,0.0,inner,40.0,85.0,GOOD,GOOD,44.124096,41.798458,8,0,8,3.8,3.8,0.0,61.241,31 32 33 54 55 56 57 58,,31 32 33 54 55 56 57 58,32 33 34 35 36 37 38 58,,32 33 34 35 36 37 38 58
5.6,0.0,inner,40.0,70.0,GOOD,GOOD,44.203393,41.265005,8,0,8,3.8,3.8,0.0,62.034,31 32 33 54 55 56 57 58,,31 32 33 54 55 56 57 58,31 32 33 34 35 36 57 58,,31 32 33 34 35 36 57 58
5.7,0.0,inner,40.0,70.0,GOOD,GOOD,44.283066,41.316091,8,0,8,3.8,3.8,0.0,62.831,31 32 33 54 55 56 57 58,,31 32 33 54 55 56 57 58,31 32 33 34 35 36 57 58,,31 32 33 34 35 36 57 58
5.8,0.0,inner,40.0,80.0,GOOD,GOOD,44.363023,41.766515,8,0,8,3.8,3.8,0.0,63.63,31 32 33 54 55 56 57 58,,31 32 33 54 55 56 57 58,31 32 33 34 35 36 37 58,,31 32 33 34 35 36 37 58
5.9,0.0,inner,40.0,80.0,GOOD,GOOD,47.443165,41.785757,8,0,8,4.1,4.1,0.0,64.432,31 32 33 54 55 56 57 58,,31 32 33 54 55 56 57 58,31 32 33 34 35 36 37 58,,31 32 33 34 35 36 37 58
6.0,0.0,inner,55.0,25.0,GOOD,GOOD,44.217666,37.51922,8,0,8,3.8,3.8,0.0,62.177,31 32 33 34 55 56 57 58,,31 32 33 34 55 56 57 58,31 54 55 56 57 58,,31 54 55 56 57 58
6.1,0.0,inner,55.0,25.0,GOOD,GOOD,44.276088,37.578638,8,0,8,3.8,3.8,0.0,62.761,31 32 33 34 55 56 57 58,,31 32 33 34 55 56 57 58,31 54 55 56 57 58,,31 54 55 56 57 58
6.2,0.0,inner,55.0,25.0,GOOD,GOOD,44.332593,37.638595,8,0,8,3.8,3.8,0.0,63.326,31 32 33 34 55 56 57 58,,31 32 33 34 55 56 57 58,31 54 55 56 57 58,,31 54 55 56 57 58
6.3,0.0,inner,35.0,65.0,GOOD,GOOD,45.797587,41.28535,7,0,7,4.0,4.0,0.0,57.976,31 32 54 55 56 57 58,,31 32 54 55 56 57 58,31 32 33 34 35 56 57 58,,31 32 33 34 35 56 57 58
6.4,0.0,inner,45.0,80.0,GOOD,GOOD,50.842502,38.58884,8,0,8,4.4,4.4,0.0,68.425,31 32 33 54 55 56 57 58,,31 32 33 54 55 56 57 58,31 32 33 34 35 36 57 58,,31 32 33 34 35 36 57 58
6.5,0.0,inner,40.0,70.0,GOOD,GOOD,48.935808,41.350972,7,0,7,4.3,4.3,0.0,59.358,31 32 54 55 56 57 58,,31 32 54 55 56 57 58,31 32 33 34 35 56 57 58,,31 32 33 34 35 56 57 58
6.6,0.0,inner,60.0,20.0,GOOD,MARGINAL,47.534977,39.062275,8,0,8,4.1,4.1,0.0,65.35,31 32 33 34 55 56 57 58,,31 32 33 34 55 56 57 58,31 54 55 56 57,,31 54 55 56 57
6.7,0.0,inner,40.0,70.0,GOOD,GOOD,48.072813,40.402787,6,0,6,4.2,4.2,0.0,60.728,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
6.8,0.0,inner,40.0,70.0,GOOD,GOOD,51.140452,43.423067,6,0,6,4.5,4.5,0.0,61.405,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
6.9,0.0,inner,40.0,75.0,GOOD,GOOD,51.207263,43.439355,6,0,6,4.5,4.5,0.0,62.073,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.0,0.0,inner,45.0,75.0,GOOD,GOOD,51.273032,43.451469,6,0,6,4.5,4.5,0.0,62.73,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.1,0.0,inner,45.0,75.0,GOOD,GOOD,51.337519,43.459228,6,0,6,4.5,4.5,0.0,63.375,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.2,0.0,inner,45.0,75.0,GOOD,GOOD,54.40046,46.462453,6,0,6,4.8,4.8,0.0,64.005,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.3,0.0,inner,45.0,75.0,GOOD,GOOD,54.46156,46.460966,6,0,6,4.8,4.8,0.0,64.616,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.4,0.0,inner,45.0,80.0,GOOD,GOOD,54.52049,46.454589,6,0,6,4.8,4.8,0.0,65.205,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.5,0.0,inner,30.0,60.0,GOOD,GOOD,48.590913,47.735238,5,0,5,4.4,4.4,0.0,45.909,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
7.6,0.0,inner,30.0,60.0,GOOD,GOOD,48.646821,47.740933,5,0,5,4.4,4.4,0.0,46.468,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
7.7,0.0,inner,50.0,80.0,GOOD,GOOD,54.680356,46.404419,6,0,6,4.8,4.8,0.0,66.804,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.8,0.0,inner,50.0,80.0,GOOD,GOOD,54.72645,46.376806,6,0,6,4.8,4.8,0.0,67.265,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.9,0.0,inner,40.0,70.0,GOOD,GOOD,48.802423,47.720291,5,0,5,4.4,4.4,0.0,48.024,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
8.0,0.0,inner,35.0,65.0,GOOD,GOOD,41.848432,40.699116,4,0,4,3.7,3.7,0.0,48.484,31 54 55 56,,31 54 55 56,31 32 33 55 56,,31 32 33 55 56
8.1,0.0,inner,75.0,35.0,GOOD,GOOD,45.674483,41.89037,6,0,6,3.9,3.9,0.0,66.745,31 32 33 34 55 56,,31 32 33 34 55 56,31 54 55 56,,31 54 55 56
8.2,0.0,inner,75.0,35.0,GOOD,GOOD,45.628138,41.927379,6,0,6,3.9,3.9,0.0,66.281,31 32 33 34 55 56,,31 32 33 34 55 56,31 54 55 56,,31 54 55 56
8.3,0.0,inner,75.0,40.0,GOOD,GOOD,45.572002,41.95845,6,0,6,3.9,3.9,0.0,65.72,31 32 33 34 55 56,,31 32 33 34 55 56,31 54 55 56,,31 54 55 56
8.4,0.0,inner,40.0,70.0,GOOD,GOOD,41.982398,40.527812,4,0,4,3.7,3.7,0.0,49.824,31 54 55 56,,31 54 55 56,31 32 33 55 56,,31 32 33 55 56
8.5,0.0,inner,80.0,50.0,GOOD,GOOD,45.428025,41.997826,6,0,6,3.9,3.9,0.0,64.28,31 32 33 34 55 56,,31 32 33 34 55 56,31 54 55 56,,31 54 55 56
8.6,0.0,inner,80.0,40.0,MARGINAL,MARGINAL,35.33902,32.00308,5,0,5,2.9,2.9,0.0,63.39,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
8.7,0.0,inner,80.0,45.0,MARGINAL,MARGINAL,35.237923,31.996194,5,0,5,2.9,2.9,0.0,62.379,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
8.8,0.0,inner,80.0,45.0,MARGINAL,MARGINAL,35.124216,31.974826,5,0,5,2.9,2.9,0.0,61.242,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
8.9,0.0,inner,85.0,45.0,MARGINAL,MARGINAL,34.997444,31.936177,5,0,5,2.9,2.9,0.0,59.974,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
9.0,0.0,inner,85.0,45.0,MARGINAL,MARGINAL,34.857238,31.876896,5,0,5,2.9,2.9,0.0,58.572,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
9.1,0.0,inner,65.0,95.0,GOOD,MARGINAL,40.515081,25.623397,4,0,4,3.4,3.4,0.0,65.151,31 32 54 55,,31 32 54 55,31 32 33 34,,31 32 33 34
9.2,0.0,inner,65.0,95.0,MARGINAL,MARGINAL,30.369404,25.570103,3,0,3,2.4,2.4,0.0,63.694,31 32 54,,31 32 54,31 32 33 34,,31 32 33 34
9.3,0.0,inner,70.0,100.0,MARGINAL,MARGINAL,30.187041,25.514492,3,0,3,2.4,2.4,0.0,61.87,31 32 54,,31 32 54,31 32 33 34,,31 32 33 34
9.4,0.0,inner,70.0,100.0,MARGINAL,MARGINAL,29.96149,25.456722,3,0,3,2.4,2.4,0.0,59.615,31 32 54,,31 32 54,31 32 33 34,,31 32 33 34
9.5,0.0,inner,70.0,100.0,MARGINAL,MARGINAL,29.685385,25.39696,3,0,3,2.4,2.4,0.0,56.854,31 32 54,,31 32 54,31 32 33 34,,31 32 33 34
