group_key,mode,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,value,sigma,base_weight,enabled,weight_multiplier,state,reason,effective_weight
624_x2.000_y3.000_h90.0,distance_angle,624,2.0,3.0,90.0,38,front,angle,15.8,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle,624,2.0,3.0,90.0,39,front,distance,2.147,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_angle,624,2.0,3.0,90.0,39,front,angle,-10.8,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle,624,2.0,3.0,90.0,40,front,distance,1.787,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_angle,624,2.0,3.0,90.0,40,front,angle,-23.8,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle,624,2.0,3.0,90.0,45,rear,distance,2.848,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle,624,2.0,3.0,90.0,45,rear,angle,9.1,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x2.000_y3.000_h90.0,distance_angle,624,2.0,3.0,90.0,46,rear,distance,2.986,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle,624,2.0,3.0,90.0,46,rear,angle,-11.5,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x2.000_y3.000_h180.0,distance_angle,624,2.0,3.0,180.0,41,front,distance,1.023,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h180.0,distance_angle,624,2.0,3.0,180.0,41,front,angle,39.3,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h180.0,distance_angle,624,2.0,3.0,180.0,42,front,distance,0.775,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h180.0,distance_angle,624,2.0,3.0,180.0,42,front,angle,-22.4,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,38,rear,distance,2.216,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,38,rear,angle,20.0,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,39,rear,distance,2.171,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,39,rear,angle,-6.8,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,43,front,distance,1.455,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,43,front,angle,32.3,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,45,front,distance,2.823,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,45,front,angle,4.2,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,46,front,distance,2.915,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,46,front,angle,-14.5,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,47,front,distance,3.227,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h270.0,distance_angle,624,2.0,3.0,270.0,47,front,angle,-25.9,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h90.0,distance_angle,624,2.0,4.0,90.0,38,front,distance,1.315,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h90.0,distance_angle,624,2.0,4.0,90.0,38,front,angle,28.7,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h90.0,distance_angle,624,2.0,4.0,90.0,39,front,distance,1.188,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h90.0,distance_angle,624,2.0,4.0,90.0,39,front,angle,-17.3,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h180.0,distance_angle,624,2.0,4.0,180.0,40,front,distance,1.021,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h180.0,distance_angle,624,2.0,4.0,180.0,40,front,angle,40.2,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h180.0,distance_angle,624,2.0,4.0,180.0,41,front,distance,0.824,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h180.0,distance_angle,624,2.0,4.0,180.0,41,front,angle,-23.0,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,39,rear,distance,1.12,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,39,rear,angle,-16.8,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,42,front,distance,1.454,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,42,front,angle,30.9,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,45,front,distance,3.801,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,45,front,angle,1.1,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,46,front,distance,3.842,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,46,front,angle,-12.7,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,47,front,distance,4.121,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y4.000_h270.0,distance_angle,624,2.0,4.0,270.0,47,front,angle,-22.6,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h0.0,distance_angle,624,3.0,3.0,0.0,41,rear,distance,1.798,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h0.0,distance_angle,624,3.0,3.0,0.0,41,rear,angle,26.2,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x3.000_y3.000_h0.0,distance_angle,624,3.0,3.0,0.0,42,rear,distance,1.691,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h0.0,distance_angle,624,3.0,3.0,0.0,42,rear,angle,-6.3,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x3.000_y3.000_h0.0,distance_angle,624,3.0,3.0,0.0,55,front,distance,7.295,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h0.0,distance_angle,624,3.0,3.0,0.0,55,front,angle,8.0,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,36,front,distance,2.316,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,36,front,angle,42.3,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,37,front,distance,2.226,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,37,front,angle,15.4,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,38,front,distance,2.156,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,38,front,angle,-11.1,3.0,0.5,True,1.0,USED_NORMAL,,0.5
