tag_id,camera_role,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,tag_x_m,tag_y_m,tag_yaw_deg,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,camera_forward_offset_m,world_bearing_deg,raw_distance_m,cal_distance_m,raw_angle_deg,cal_angle_deg,raw_yaw_deg,cal_yaw_deg,center_x,center_y,avg_width_px,avg_height_px,width_height_ratio,perspective_skew_lr,perspective_skew_tb,snapshot_path
41,front,2.8255,2.7771155224710955,0.0483844775289044,42.0059,44.568543221289275,-2.562643221289278,-37.3559,-5.431456778710725,-31.924443221289266,1.2,3.695,0.0,right,3.9646466814672405,3.9578675556284564,230.0,0.055,185.43145677871073,3.3924,2.8255,34.9246,42.0059,-37.1897,-37.3559,,,,,,,,/tmp/location_front_1782801924932.jpg
42,front,3.0887,3.0014173848563286,0.0872826151436712,25.0985,26.269673084324438,-1.1711730843244368,-30.3503,-23.730326915675562,-6.619973084324442,1.217,2.75,0.0,right,3.9646466814672405,3.9578675556284564,230.0,0.055,203.73032691567556,3.3959,3.0887,22.4298,25.0985,-29.8618,-30.3503,,,,,,,,/tmp/location_front_1782801924932.jpg
43,front,3.6313,3.5329612205373913,0.09833877946260872,8.7004,11.052087879509372,-2.3516878795093703,-39.3754,-38.94791212049063,-0.4274878795093855,1.217,1.737,0.0,right,3.9646466814672405,3.9578675556284564,230.0,0.055,218.94791212049063,3.8103,3.6313,8.9339,8.7004,-39.7409,-39.3754,,,,,,,,/tmp/location_front_1782801924932.jpg
45,front,4.494,4.485648861576404,0.008351138423595472,-11.8391,-9.321828141973697,-2.517271858026305,28.4128,30.678171858026303,-2.265371858026299,1.676,0.1,90.0,up,3.9646466814672405,3.9578675556284564,230.0,0.055,239.3218281419737,4.7597,4.494,-10.8501,-11.8391,32.6657,28.4128,,,,,,,,/tmp/location_front_1782801924932.jpg
46,front,4.0806,4.083190017769318,-0.0025900177693181092,-20.8749,-20.87692474676038,0.0020247467603837777,22.7404,19.12307525323962,3.6173247467603744,2.627,0.1,90.0,up,3.9646466814672405,3.9578675556284564,230.0,0.055,250.87692474676038,4.5016,4.0806,-21.1367,-20.8749,26.4298,22.7404,,,,,,,,/tmp/location_front_1782801924932.jpg
47,front,3.8799,3.8772944209104425,0.002605579089557608,-28.499,-34.26205865761057,5.763058657610571,-29.9911,5.737941342389433,-35.72904134238945,3.577,0.1,90.0,up,3.9646466814672405,3.9578675556284564,230.0,0.055,264.26205865761057,4.5757,3.8799,-31.0229,-28.499,-30.269,-29.9911,,,,,,,,/tmp/location_front_1782801924932.jpg
36,rear,0.7072,0.8263458840231751,-0.11914588402317505,-11.231,-3.649802964932121,-7.5811970350678735,27.5937,36.35019703506782,-8.75649703506781,4.538,4.723,270.0,down,4.04820907072649,4.057453333233924,50.0,-0.075,53.64980296493211,0.6268,0.7072,-14.8691,-11.231,29.1018,27.5937,,,,,,,,/tmp/location_rear_1782801930679.jpg
