tag_id,camera_role,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_keep_deg,yaw_flip_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_abs_err_keep_deg,yaw_abs_err_flip_deg,yaw_best_mode,yaw_best_deg,yaw_best_err_deg,yaw_best_abs_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_edge_flag,yaw_small_truey_flag,yaw_accepted,yaw_decision,yaw_sign_corrected_deg,yaw_quantized_deg,yaw_quantized_error_deg,tag_x_m,tag_y_m,tag_yaw_deg,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,camera_forward_offset_m,world_bearing_deg,raw_distance_m,cal_distance_m,raw_angle_deg,cal_angle_deg,raw_yaw_deg,cal_yaw_deg,center_x,center_y,avg_width_px,avg_height_px,width_height_ratio,perspective_skew_lr,perspective_skew_tb,snapshot_path
37,front,3.8161,3.9042204603062562,-0.0881204603062562,35.3925,34.64626804068513,0.746231959314855,-34.9706,-20.353731959314928,-14.616868040685063,-34.97059999999999,34.97059999999999,-14.616868040685063,55.32433195931492,14.616868040685063,55.32433195931492,keep,-34.97059999999999,-14.616868040685063,14.616868040685063,-40.707463918629855,40.707463918629855,True,False,False,reject_edge,,,,3.597,5.192,270.0,down,4.954946637564105,1.5315467039993076,145.0,0.055,110.35373195931489,4.4021,3.8161,30.1816,35.3925,-34.7019,-34.9706,,,,,,,,/tmp/location_front_1783410760252.jpg
38,front,4.3058,4.334248680754539,-0.02844868075453899,22.9668,22.62285484119593,0.3439451588040754,-37.0854,-32.37714515880407,-4.708254841195924,-37.08539999999999,37.08539999999999,-4.708254841195924,69.46254515880406,4.708254841195924,69.46254515880406,keep,-37.08539999999999,-4.708254841195924,4.708254841195924,-64.75429031760814,64.75429031760814,False,False,True,accept_keep_quantized,-37.08539999999999,-32.37714515880407,0.0,2.634,5.192,270.0,down,4.954946637564105,1.5315467039993076,145.0,0.055,122.37714515880408,4.6707,4.3058,20.7617,22.9668,-37.1096,-37.0854,,,,,,,,/tmp/location_front_1783410760252.jpg
39,front,4.9702,4.917644136227318,0.05255586377268173,12.2575,13.103384392554489,-0.8458843925544954,-39.2094,-41.89661560744548,2.6872156074454665,-39.20940000000002,39.20940000000002,2.6872156074454665,81.1060156074455,2.6872156074454665,81.1060156074455,keep,-39.20940000000002,2.6872156074454665,2.6872156074454665,-78.41880000000003,78.41880000000003,False,False,True,accept_keep_quantized,-39.20940000000002,-41.89661560744548,0.0,1.671,5.192,270.0,down,4.954946637564105,1.5315467039993076,145.0,0.055,131.8966156074455,5.2115,4.9702,12.0013,12.2575,-39.5173,-39.2094,,,,,,,,/tmp/location_front_1783410760252.jpg
41,front,4.3245,4.33360755202063,-0.009107552020630294,-7.3689,-5.05113728069054,-2.3177627193094565,24.4475,29.94886271930946,-5.501362719309469,24.44749999999999,-24.44749999999999,-5.501362719309469,-54.39636271930945,5.501362719309469,54.39636271930945,keep,24.44749999999999,-5.501362719309469,5.501362719309469,-48.89499999999998,48.89499999999998,False,False,True,accept_keep_quantized,24.44749999999999,29.94886271930946,0.0,1.2,3.695,0.0,right,4.954946637564105,1.5315467039993076,145.0,0.055,150.05113728069054,4.4728,4.3245,-6.1831,-7.3689,28.4823,24.4475,,,,,,,,/tmp/location_front_1783410760252.jpg
42,front,4.0363,3.93152305090683,0.10477694909316959,-18.0101,-16.9456569521102,-1.064443047889796,19.0083,18.0543430478898,0.9539569521101896,19.00829999999999,-19.00829999999999,0.9539569521101896,-37.06264304788979,0.9539569521101896,37.06264304788979,keep,19.00829999999999,0.9539569521101896,0.9539569521101896,-36.1086860957796,36.1086860957796,False,False,True,accept_keep_quantized,19.00829999999999,18.0543430478898,0.0,1.217,2.75,0.0,right,4.954946637564105,1.5315467039993076,145.0,0.055,161.9456569521102,4.3209,4.0363,-17.7337,-18.0101,22.4778,19.0083,,,,,,,,/tmp/location_front_1783410760252.jpg
43,front,3.6874,3.7435886689264284,-0.0561886689264286,-27.599,-31.853948151923248,4.254948151923259,23.0057,3.146051848076752,19.85964815192324,23.00569999999999,-23.00569999999999,19.85964815192324,-26.151751848076742,19.85964815192324,26.151751848076742,keep,23.00569999999999,19.85964815192324,19.85964815192324,-6.292103696153504,6.292103696153504,True,True,False,reject_edge,,,,1.217,1.737,0.0,right,4.954946637564105,1.5315467039993076,145.0,0.055,176.85394815192325,4.2565,3.6874,-29.7819,-27.599,26.5862,23.0057,,,,,,,,/tmp/location_front_1783410760252.jpg
50,rear,1.771,1.7824308583853086,-0.011430858385308662,4.9217,5.9830466117909396,-1.0613466117909525,-54.864,-49.01695338820906,-5.847046611790944,-54.864000000000004,54.864000000000004,-5.847046611790944,103.88095338820904,5.847046611790944,103.88095338820904,keep,-54.864000000000004,-5.847046611790944,5.847046611790944,-98.03390677641809,98.03390677641809,False,False,True,accept_keep_quantized,-54.864000000000004,-49.01695338820906,0.0,6.407,0.288,90.0,up,5.061436403321674,1.4569817672736716,325.0,-0.075,319.01695338820906,1.471,1.771,4.1828,4.9217,-51.0592,-54.864,,,,,,,,/tmp/location_rear_1783410766143.jpg
