tag_id,camera_role,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_keep_deg,yaw_flip_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_abs_err_keep_deg,yaw_abs_err_flip_deg,yaw_best_mode,yaw_best_deg,yaw_best_err_deg,yaw_best_abs_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_edge_flag,yaw_small_truey_flag,yaw_accepted,yaw_decision,yaw_sign_corrected_deg,yaw_quantized_deg,yaw_quantized_error_deg,tag_x_m,tag_y_m,tag_yaw_deg,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,camera_forward_offset_m,world_bearing_deg,raw_distance_m,cal_distance_m,raw_angle_deg,cal_angle_deg,raw_yaw_deg,cal_yaw_deg,center_x,center_y,avg_width_px,avg_height_px,width_height_ratio,perspective_skew_lr,perspective_skew_tb,snapshot_path
35,front,5.0707,5.029666704149375,0.04103329585062543,19.38,18.603138908142114,0.7768610918578815,-49.9028,43.603138908142114,-93.50593890814211,-49.90280000000001,49.90280000000001,-93.50593890814213,6.2996610918578995,93.50593890814213,6.2996610918578995,flip,49.90280000000001,6.2996610918578995,6.2996610918578995,87.20627781628423,87.20627781628423,False,False,True,accept_flip_quantized,49.90280000000001,43.603138908142114,0.0,5.492,5.192,270.0,down,2.0232440043957385,1.5498469282870158,65.0,0.055,46.39686109185787,5.4356,5.0707,17.901,19.38,-50.898,-49.9028,,,,,,,,/tmp/location_front_1783409328418.jpg
36,front,4.043,4.048814410904645,-0.005814410904644518,13.5586,13.397181546013911,0.16141845398610144,34.6495,38.39718154601394,-3.7476815460139505,34.64949999999999,-34.64949999999999,-3.7476815460139505,-73.04668154601393,3.7476815460139505,73.04668154601393,keep,34.64949999999999,-3.7476815460139505,3.7476815460139505,-69.29899999999998,69.29899999999998,False,False,True,accept_keep_quantized,34.64949999999999,38.39718154601394,0.0,4.538,4.723,270.0,down,2.0232440043957385,1.5498469282870158,65.0,0.055,51.60281845398608,4.2417,4.043,13.1024,13.5586,39.7093,34.6495,,,,,,,,/tmp/location_front_1783409328418.jpg
37,front,4.0075,3.9676172864187254,0.03988271358127493,-2.9856,-1.6310704381970709,-1.3545295618029343,19.8277,23.36892956180293,-3.541229561802936,19.827699999999993,-19.827699999999993,-3.541229561802936,-43.19662956180292,3.541229561802936,43.19662956180292,keep,19.827699999999993,-3.541229561802936,3.541229561802936,-39.655399999999986,39.655399999999986,False,False,True,accept_keep_quantized,19.827699999999993,23.36892956180293,0.0,3.597,5.192,270.0,down,2.0232440043957385,1.5498469282870158,65.0,0.055,66.63107043819706,4.1214,4.0075,-1.8252,-2.9856,23.5924,19.8277,,,,,,,,/tmp/location_front_1783409328418.jpg
38,front,3.6844,3.693007160019444,-0.008607160019443949,-15.9132,-15.480588049480787,-0.43261195051920254,12.105,9.51941195051927,2.5855880494807195,12.10499999999999,-12.10499999999999,2.5855880494807195,-21.62441195051926,2.5855880494807195,21.62441195051926,keep,12.10499999999999,2.5855880494807195,2.5855880494807195,-19.03882390103854,19.03882390103854,False,False,True,accept_keep_quantized,12.10499999999999,9.51941195051927,0.0,2.634,5.192,270.0,down,2.0232440043957385,1.5498469282870158,65.0,0.055,80.4805880494808,3.8984,3.6844,-15.3308,-15.9132,15.1099,12.105,,,,,,,,/tmp/location_front_1783409328418.jpg
39,front,3.6111,3.659146736115002,-0.0480467361150021,-26.1266,-30.524073611955743,4.397473611955746,21.5627,-5.524073611955714,27.08677361195572,21.562700000000007,-21.562700000000007,27.08677361195572,-16.038626388044293,27.08677361195572,16.038626388044293,flip,-21.562700000000007,-16.038626388044293,16.038626388044293,11.048147223911428,11.048147223911428,True,True,False,reject_edge,,,,1.671,5.192,270.0,down,2.0232440043957385,1.5498469282870158,65.0,0.055,95.52407361195574,4.1018,3.6111,-27.7987,-26.1266,25.068,21.5627,,,,,,,,/tmp/location_front_1783409328418.jpg
44,rear,0.9884,1.042700851743517,-0.054300851743517065,22.9315,21.098761595066208,1.8327384049337923,-40.5663,-43.90123840493379,3.33493840493378,-40.56630000000001,40.56630000000001,3.33493840493378,84.4675384049338,3.33493840493378,84.4675384049338,keep,-40.56630000000001,3.33493840493378,3.33493840493378,-81.13260000000002,81.13260000000002,True,False,False,reject_edge,,,,1.217,0.709,0.0,right,1.9683036303694474,1.4320269159722512,245.0,-0.075,223.9012384049338,0.8806,0.9884,26.7551,22.9315,-37.1597,-40.5663,,,,,,,,/tmp/location_rear_1783409335476.jpg
45,rear,1.3174,1.3637217887830733,-0.04632178878307336,-11.927,-12.623039911935166,0.6960399119351734,-2.3419,12.376960088064834,-14.718860088064844,-2.3419000000000096,2.3419000000000096,-14.718860088064844,-10.035060088064824,14.718860088064844,10.035060088064824,flip,2.3419000000000096,-10.035060088064824,10.035060088064824,4.683800000000019,4.683800000000019,True,False,False,reject_edge,,,,1.676,0.1,90.0,up,1.9683036303694474,1.4320269159722512,245.0,-0.075,257.62303991193517,1.1099,1.3174,-15.6675,-11.927,0.0,-2.3419,,,,,,,,/tmp/location_rear_1783409335476.jpg
