source_file,sample_index,gt_x_m,gt_y_m,gt_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,diagnosis
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,11,4.0,4.0,230.0,44,front,N,4.235,4.252,-0.017,0.9,0.2,0.7,43.5,-49.8,93.3,yaw branch/sign flip or AprilTag pose ambiguity; distance/angle look usable
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,20,7.0,3.0,315.0,53,front,N,3.929,3.88,0.048,-0.1,2.5,-2.6,37.4,-42.5,79.9,yaw branch/sign flip or AprilTag pose ambiguity; distance/angle look usable
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,17,6.0,4.0,280.0,47,front,N,4.535,4.56,-0.025,43.5,42.5,1.0,-46.9,32.5,-79.4,yaw branch/sign flip or AprilTag pose ambiguity; distance/angle look usable
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,11,4.0,4.0,230.0,45,front,N,4.393,4.489,-0.096,-8.9,-9.3,0.4,-32.3,30.7,-63.1,yaw branch/sign flip or AprilTag pose ambiguity; distance/angle look usable
