source_file,sample_index,gt_x_m,gt_y_m,gt_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,diagnosis
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,17,6.0,4.0,280.0,47,front,N,4.535,4.56,-0.025,43.5,42.5,1.0,-46.9,32.5,-79.4,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,7,3.0,4.0,245.0,47,front,Y,3.845,3.894,-0.05,-28.5,-33.6,5.1,27.4,-8.6,36.0,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,4,2.0,4.0,245.0,46,front,Y,3.864,3.904,-0.04,-27.1,-34.5,7.4,23.5,-9.5,33.0,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,11,4.0,4.0,230.0,47,front,Y,3.789,3.879,-0.09,-27.2,-34.0,6.8,-25.9,6.0,-31.9,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,9,4.0,2.0,135.0,37,front,Y,3.114,3.183,-0.069,41.2,38.3,2.9,-36.6,-6.7,-29.9,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,5,3.0,2.0,130.0,38,front,Y,3.114,3.176,-0.062,34.9,34.0,1.0,23.2,-6.0,29.3,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,20,7.0,3.0,315.0,56,front,Y,3.231,3.068,0.162,-31.5,-41.1,9.6,32.8,3.9,28.9,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,19,7.0,2.0,60.0,34,front,Y,3.1,3.205,-0.104,-31.0,-40.4,9.4,-36.2,-10.4,-25.8,yaw error at large camera view angle; likely physical edge/pose limitation
D:\Data\_Action\_RunNMS\testLocation\output\t11_console_condensed\tag_measurements.csv,15,5.0,4.0,150.0,41,front,Y,3.627,3.767,-0.139,-28.4,-35.0,6.6,-30.5,-5.0,-25.5,yaw error at large camera view angle; likely physical edge/pose limitation
