x_m,y_m,room,best_heading_deg,backup_heading_deg,best_status,backup_status,best_score,backup_score,best_front_good_count,best_rear_good_count,best_good_total_count,best_effective_good_count,best_front_weighted_count,best_rear_weighted_count,best_geometry_span_deg,best_front_good_tag_ids,best_rear_good_tag_ids,best_all_good_tag_ids,backup_front_good_tag_ids,backup_rear_good_tag_ids,backup_all_good_tag_ids
3.2,0.0,inner,105.0,135.0,GOOD,GOOD,45.460054,39.391679,6,0,6,3.9,3.9,0.0,64.601,36 37 38 39 42 43,,36 37 38 39 42 43,39 42 43 44,,39 42 43 44
3.3,0.0,inner,130.0,95.0,GOOD,GOOD,44.389308,39.003116,5,0,5,3.8,3.8,0.0,63.893,38 39 42 43 44,,38 39 42 43 44,35 36 37 38 39 42,,35 36 37 38 39 42
3.4,0.0,inner,110.0,140.0,GOOD,GOOD,52.503805,46.358872,7,0,7,4.6,4.6,0.0,65.038,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
3.5,0.0,inner,110.0,140.0,GOOD,GOOD,52.512979,46.334152,7,0,7,4.6,4.6,0.0,65.13,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
3.6,0.0,inner,110.0,140.0,GOOD,GOOD,52.514413,46.304929,7,0,7,4.6,4.6,0.0,65.144,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
3.7,0.0,inner,130.0,100.0,GOOD,GOOD,51.246125,46.11211,6,0,6,4.5,4.5,0.0,62.461,38 39 41 42 43 44,,38 39 41 42 43 44,35 36 37 38 39 41 42,,35 36 37 38 39 41 42
3.8,0.0,inner,115.0,145.0,GOOD,GOOD,52.496123,46.23548,7,0,7,4.6,4.6,0.0,64.961,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
3.9,0.0,inner,115.0,145.0,GOOD,GOOD,52.477375,46.196305,7,0,7,4.6,4.6,0.0,64.774,36 37 38 39 41 42 43,,36 37 38 39 41 42 43,39 41 42 43 44,,39 41 42 43 44
4.0,0.0,inner,115.0,145.0,GOOD,GOOD,56.452838,50.15475,8,0,8,5.0,5.0,0.0,64.528,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.1,0.0,inner,115.0,145.0,GOOD,GOOD,56.422947,50.11119,8,0,8,5.0,5.0,0.0,64.229,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.2,0.0,inner,120.0,150.0,GOOD,GOOD,53.388115,47.06595,8,0,8,4.7,4.7,0.0,63.881,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.3,0.0,inner,120.0,150.0,GOOD,GOOD,53.348735,47.019318,8,0,8,4.7,4.7,0.0,63.487,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.4,0.0,inner,120.0,150.0,GOOD,GOOD,53.305182,46.971546,8,0,8,4.7,4.7,0.0,63.052,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.5,0.0,inner,120.0,150.0,GOOD,GOOD,53.257814,46.922856,8,0,8,4.7,4.7,0.0,62.578,36 37 38 39 40 41 42 43,,36 37 38 39 40 41 42 43,39 40 41 42 43 44,,39 40 41 42 43 44
4.6,0.0,inner,135.0,100.0,GOOD,GOOD,56.72296,44.222117,8,0,8,5.0,5.0,0.0,67.23,37 38 39 40 41 42 43 44,,37 38 39 40 41 42 43 44,34 35 36 37 38 39 40 41,,34 35 36 37 38 39 40 41
4.7,0.0,inner,135.0,95.0,GOOD,GOOD,53.650034,41.424547,8,0,8,4.7,4.7,0.0,66.5,37 38 39 40 41 42 43 44,,37 38 39 40 41 42 43 44,33 34 35 36 37 38 39 40,,33 34 35 36 37 38 39 40
4.8,0.0,inner,135.0,95.0,GOOD,GOOD,49.576159,37.414787,7,0,7,4.3,4.3,0.0,65.762,37 38 40 41 42 43 44,,37 38 40 41 42 43 44,33 34 35 36 37 38 40,,33 34 35 36 37 38 40
4.9,0.0,inner,135.0,95.0,GOOD,GOOD,46.501535,37.402088,7,0,7,4.0,4.0,0.0,65.015,37 38 40 41 42 43 44,,37 38 40 41 42 43 44,33 34 35 36 37 38 40,,33 34 35 36 37 38 40
5.0,0.0,inner,135.0,105.0,GOOD,GOOD,46.426341,37.139615,7,0,7,4.0,4.0,0.0,64.263,37 38 40 41 42 43 44,,37 38 40 41 42 43 44,34 35 36 37 38 40 41,,34 35 36 37 38 40 41
5.1,0.0,inner,140.0,105.0,GOOD,MARGINAL,42.350744,33.111083,6,0,6,3.6,3.6,0.0,63.507,37 38 41 42 43 44,,37 38 41 42 43 44,34 35 36 37 38 41,,34 35 36 37 38 41
5.2,0.0,inner,140.0,105.0,GOOD,MARGINAL,42.274893,33.079599,6,0,6,3.6,3.6,0.0,62.749,37 38 41 42 43 44,,37 38 41 42 43 44,34 35 36 37 38 41,,34 35 36 37 38 41
5.3,0.0,inner,140.0,85.0,GOOD,GOOD,39.198927,36.777528,6,0,6,3.3,3.3,0.0,61.989,37 38 41 42 43 44,,37 38 41 42 43 44,32 33 34 35 36 37 38,,32 33 34 35 36 37 38
5.4,0.0,inner,140.0,85.0,GOOD,GOOD,39.122972,36.781715,6,0,6,3.3,3.3,0.0,61.23,37 38 41 42 43 44,,37 38 41 42 43 44,32 33 34 35 36 37 38,,32 33 34 35 36 37 38
5.5,0.0,inner,85.0,140.0,GOOD,GOOD,36.783149,36.047143,7,0,7,3.1,3.1,0.0,57.831,32 33 34 35 36 37 38,,32 33 34 35 36 37 38,37 38 41 42 43 44,,37 38 41 42 43 44
5.6,0.0,inner,125.0,40.0,GOOD,GOOD,40.718973,40.238158,7,0,7,3.4,3.4,0.0,67.19,35 36 37 38 41 42 43,,35 36 37 38 41 42 43,31 32 33 54 55 56 57,,31 32 33 54 55 56 57
5.7,0.0,inner,125.0,40.0,GOOD,GOOD,40.652632,40.319498,7,0,7,3.4,3.4,0.0,66.526,35 36 37 38 41 42 43,,35 36 37 38 41 42 43,31 32 33 54 55 56 57,,31 32 33 54 55 56 57
5.8,0.0,inner,40.0,80.0,GOOD,GOOD,44.401228,37.150983,8,0,8,3.8,3.8,0.0,64.012,31 32 33 54 55 56 57 58,,31 32 33 54 55 56 57 58,32 33 34 35 36 37 58,,32 33 34 35 36 37 58
5.9,0.0,inner,40.0,75.0,GOOD,GOOD,44.483256,41.565409,8,0,8,3.8,3.8,0.0,64.833,31 32 33 54 55 56 57 58,,31 32 33 54 55 56 57 58,31 32 33 34 35 36 57 58,,31 32 33 34 35 36 57 58
6.0,0.0,inner,75.0,35.0,GOOD,GOOD,41.611927,39.63438,8,0,8,3.5,3.5,0.0,66.119,31 32 33 34 35 36 57 58,,31 32 33 34 35 36 57 58,31 32 54 55 56 57 58,,31 32 54 55 56 57 58
6.1,0.0,inner,55.0,20.0,GOOD,MARGINAL,44.381665,37.44665,8,0,8,3.8,3.8,0.0,63.817,31 32 33 34 55 56 57 58,,31 32 33 34 55 56 57 58,31 54 55 56 57 58,,31 54 55 56 57 58
6.2,0.0,inner,55.0,20.0,GOOD,GOOD,44.442934,37.505119,8,0,8,3.8,3.8,0.0,64.429,31 32 33 34 55 56 57 58,,31 32 33 34 55 56 57 58,31 54 55 56 57 58,,31 54 55 56 57 58
6.3,0.0,inner,55.0,25.0,GOOD,GOOD,44.502355,37.564181,8,0,8,3.8,3.8,0.0,65.024,31 32 33 34 55 56 57 58,,31 32 33 34 55 56 57 58,31 54 55 56 57 58,,31 54 55 56 57 58
6.4,0.0,inner,35.0,65.0,GOOD,GOOD,45.920312,36.439865,7,0,7,4.0,4.0,0.0,59.203,31 32 54 55 56 57 58,,31 32 54 55 56 57 58,31 32 33 34 56 57 58,,31 32 33 34 56 57 58
6.5,0.0,inner,40.0,70.0,GOOD,GOOD,45.992143,41.522719,7,0,7,4.0,4.0,0.0,59.921,31 32 54 55 56 57 58,,31 32 54 55 56 57 58,31 32 33 34 35 56 57 58,,31 32 33 34 35 56 57 58
6.6,0.0,inner,40.0,70.0,GOOD,GOOD,46.063883,41.556299,7,0,7,4.0,4.0,0.0,60.639,31 32 54 55 56 57 58,,31 32 54 55 56 57 58,31 32 33 34 35 56 57 58,,31 32 33 34 35 56 57 58
