group_key,dataset,gt_x,gt_y,gt_h,initial_x,initial_y,initial_h,no_yaw_ok,with_yaw_ok,no_yaw_est_x,no_yaw_est_y,no_yaw_est_h,no_yaw_pos_err_cm,no_yaw_heading_err_deg,no_yaw_distance_rms_cm,no_yaw_angle_rms_deg,with_yaw_est_x,with_yaw_est_y,with_yaw_est_h,with_yaw_pos_err_cm,with_yaw_heading_err_deg,with_yaw_distance_rms_cm,with_yaw_angle_rms_deg,with_yaw_yaw_rms_deg,yaw_shift_pos_cm,yaw_shift_heading_deg,used_tag_count,used_distance_count,used_angle_count,used_yaw_count,with_yaw_cost,with_yaw_evaluations
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,2.2,2.85,20.0,False,False,2.2,2.85,20.0,25.00000000000001,20.0,21.868724780010407,23.68302745306255,2.2,2.85,20.0,25.00000000000001,20.0,21.868724780010407,23.68302745306255,7.983027453062533,0.0,0.0,1,1,1,1,inf,0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,2.2,2.85,110.0,True,True,1.9687499999999998,3.0281250000000006,89.6875,4.2042575147105925,0.3125,2.609162176816467,2.0824082985109333,1.9687499999999998,3.0281250000000006,89.6875,4.2042575147105925,0.3125,2.609162176816467,2.0824082985109333,5.17932457986163,0.0,0.0,6,6,6,6,0.9173900524055254,2773
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.2,2.85,200.0,True,True,2.00625,3.0031250000000003,176.71875,0.6987712429687041,3.28125,0.026590226089316285,0.16652100416164123,2.00625,3.0000000000000004,176.5625,0.6250000000000089,3.4375,0.1378428188971577,0.1225793381888656,6.596166306417272,0.31249999999998224,0.15625,2,2,2,2,0.023349491465974506,2993
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.2,2.85,290.0,True,True,1.990625,2.9875,270.15625,1.562500000000009,0.15625,1.8710127517070099,2.3040258912674108,1.99375,2.9875,270.15625,1.3975424859373884,0.15625,1.8188944565535725,2.3457579584914408,15.142884973392631,0.31249999999998224,0.0,6,6,6,6,1.3155342774353462,2623
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,2.2,3.85,110.0,True,True,1.9843750000000009,3.9999999999999996,88.75,1.5624999999999112,1.25,0.08039095677184341,0.6108563231024414,1.9843750000000009,3.9999999999999996,88.75,1.5624999999999112,1.25,0.08039095677184341,0.6108563231024414,3.6728461624134887,0.0,0.0,2,2,2,2,0.027733710341062902,3143
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.2,3.85,200.0,True,True,2.01875,4.015625,178.90625,2.440703023720816,1.09375,0.33544568548404785,0.5710989444415672,2.01875,4.015625,178.90625,2.440703023720816,1.09375,0.33544568548404785,0.5710989444415672,5.866366138065665,0.0,0.0,2,2,2,2,0.03982774505722025,2963
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.2,3.85,290.0,True,True,2.015625,3.978125,267.5,2.688226645950828,2.5,4.451858398619309,1.7178199352920045,2.0156249999999996,3.978125,267.5,2.6882266459508024,2.5,4.451858398619313,1.7178199352920023,10.797177090749509,4.440892098500626e-14,0.0,5,5,5,5,1.7588051110742806,2933
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,3.2,2.85,20.0,True,True,2.9,2.9718750000000003,359.84375,10.387981336621664,0.15625,4.879725005423649,1.9028217767217563,2.9,2.9718750000000003,359.84375,10.387981336621664,0.15625,4.879725005423649,1.9028217767217563,18.262490367533,0.0,0.0,3,3,3,3,1.1716360184221863,2573
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,3.2,2.85,110.0,True,True,2.9718750000000003,3.0031250000000003,90.78125,2.8298078556679194,0.78125,0.974607801477957,3.1926132223413513,2.9718750000000003,3.0031250000000003,90.78125,2.8298078556679194,0.78125,0.974607801477957,3.1926132223413513,6.042924304860089,0.0,0.0,5,5,5,5,1.1369899358418576,2853
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.2,2.85,200.0,True,True,3.015625,3.0125,180.0,2.0009763241977763,0.0,1.5489461448755084,3.9366603548981964,3.015625,3.0125,180.0,2.0009763241977763,0.0,1.5489461448755084,3.9366603548981964,49.183507667204644,0.0,0.0,4,4,4,4,3.23776092182443,2633
