combo_index,rejection_score_threshold,min_score_gap,max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,0.8,0.05,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.6625210999991396
2,0.8,0.05,1,1.0,0.0447093632479151,0.04046270060149359,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1228559518745562,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6410256410256411,0.9743589743589743,1.0,1.0,0.9743589743589743,27,27,0.6452988999990339
3,0.8,0.1,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.384074800000235
4,0.8,0.1,1,1.0,0.04370916210629706,0.039771051542244994,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1355737536504091,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,26,26,0.6251415000006091
5,0.8,0.2,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.389296800000011
6,0.8,0.2,1,1.0,0.0444634921421919,0.04046270060149359,0.07407551106525607,0.09930915994395016,0.10049423579621065,1.1477124339589178,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,20,20,0.5649482000007993
7,0.8,0.3,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.38492889999906765
8,0.8,0.3,1,1.0,0.04279137804677527,0.039000801549351816,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1597474424799703,0.8784307628236547,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,14,14,0.5162648000004992
9,0.8,0.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3834114999990561
10,0.8,0.5,1,1.0,0.0401395488006835,0.03669010838149788,0.06974217011889072,0.07407551106525607,0.07422565966920235,1.1398651632196266,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,1.0,1.0,1.0,1.0,6,6,0.43872430000192253
11,1.0,0.05,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.40703140000186977
12,1.0,0.05,1,1.0,0.04455266650504277,0.04046270060149359,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1684478825550912,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,20,20,0.6233112000008987
13,1.0,0.1,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.40531730000293464
14,1.0,0.1,1,1.0,0.04455266650504277,0.04046270060149359,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1684478825550912,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,20,20,0.5723467999996501
15,1.0,0.2,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3959925999988627
16,1.0,0.2,1,1.0,0.04490214992529993,0.04046270060149359,0.07407551106525607,0.09930915994395016,0.10049423579621065,1.1572281916354992,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,18,18,0.550663900001382
17,1.0,0.3,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3859634000000369
