rank,combo_index,rejection_score_threshold,min_score_gap,max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
1,10,0.8,0.5,1,1.0,0.0401395488006835,0.03669010838149788,0.06974217011889072,0.07407551106525607,0.07422565966920235,1.1398651632196266,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,1.0,1.0,1.0,1.0,6,6,0.43872430000192253
2,20,1.0,0.5,1,1.0,0.0401395488006835,0.03669010838149788,0.06974217011889072,0.07407551106525607,0.07422565966920235,1.1398651632196266,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,1.0,1.0,1.0,1.0,6,6,0.439815699999599
3,32,1.4,0.05,1,1.0,0.04054293451648364,0.03669010838149788,0.06974217011889072,0.07422565966920235,0.11427054170269618,1.1216158778960685,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.4304694999991625
4,34,1.4,0.1,1,1.0,0.04054293451648364,0.03669010838149788,0.06974217011889072,0.07422565966920235,0.11427054170269618,1.1216158778960685,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.4335146999983408
5,8,0.8,0.3,1,1.0,0.04279137804677527,0.039000801549351816,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1597474424799703,0.8784307628236547,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,14,14,0.5162648000004992
6,18,1.0,0.3,1,1.0,0.04279137804677527,0.039000801549351816,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1597474424799703,0.8784307628236547,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,14,14,0.5200251999995089
7,12,1.0,0.05,1,1.0,0.04455266650504277,0.04046270060149359,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1684478825550912,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,20,20,0.6233112000008987
8,14,1.0,0.1,1,1.0,0.04455266650504277,0.04046270060149359,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1684478825550912,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,20,20,0.5723467999996501
9,4,0.8,0.1,1,1.0,0.04370916210629706,0.039771051542244994,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1355737536504091,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,26,26,0.6251415000006091
10,2,0.8,0.05,1,1.0,0.0447093632479151,0.04046270060149359,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1228559518745562,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6410256410256411,0.9743589743589743,1.0,1.0,0.9743589743589743,27,27,0.6452988999990339
11,1,0.8,0.05,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.6625210999991396
12,3,0.8,0.1,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.384074800000235
13,5,0.8,0.2,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.389296800000011
14,7,0.8,0.3,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.38492889999906765
