sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s001,2.0,1.0,60.0,5,True,,1.9204506803666987,1.0463765321685325,75.51691474951622,0.09208081770977092,15.516914749516218,15.516914749516218,False,True,True,False,False,True,False,True,106,20.387000000482658,0.005145975214946903,5,5,0,36;37;38;39;45,36;37;38;39;45,
main29_s002,2.0,2.0,70.0,6,True,,1.9744636575940437,2.0338180469465446,70.58765799269997,0.04237646850261276,0.5876579926999739,0.5876579926999739,True,True,True,True,True,True,True,True,90,9.396499997819774,0.0005443130759656667,6,6,0,36;37;38;39;44;45,36;37;38;39;44;45,
main29_s003,2.0,3.0,265.0,7,True,,2.0380612512771394,2.9806878562376857,278.3940473500911,0.04268041407341127,13.394047350091114,13.394047350091114,True,True,True,False,False,True,False,True,86,10.726699998485856,0.00031661669305102535,7,7,0,43;44;45;46;47;38;39,43;44;45;46;47;38;39,
main29_s004,2.0,4.0,290.0,6,True,,1.9572047612881505,4.02093514581396,283.73352255148257,0.0476415027749539,-6.266477448517435,6.266477448517435,True,True,True,False,True,True,True,True,87,8.563700001104735,0.013803196906272202,6,6,0,45;46;47;48;49;39,45;46;47;48;49;39,
main29_s005,3.0,2.0,65.0,5,True,,2.9579784499384836,2.0412354438265683,41.503670789165085,0.058874209099966684,-23.496329210834915,23.496329210834915,False,True,True,False,False,False,False,False,39,4.319800002122065,0.0006161480461014357,5,5,0,35;36;37;38;45,35;36;37;38;45,
main29_s006,3.0,3.0,265.0,5,True,,3.0271841069619696,2.981000082419306,255.54821339403077,0.033165833916742875,-9.451786605969232,9.451786605969232,True,True,True,False,True,True,True,True,84,8.087199999863515,0.0006795371717697452,5,5,0,45;46;47;48;37,45;46;47;48;37,
main29_s007,3.0,4.0,280.0,6,True,,2.8894197312647107,4.001100960839989,282.10518101073296,0.11058574930044096,2.105181010732963,2.105181010732963,False,False,True,True,True,True,False,True,97,10.249700000713347,0.0016157274675288951,6,6,0,45;46;47;48;49;38,45;46;47;48;49;38,
main29_s008,4.0,1.0,115.0,5,True,,3.9508326964190617,0.9601418671086975,123.49318323131365,0.0632937161099021,8.493183231313651,8.493183231313651,False,True,True,False,True,True,True,True,106,10.58559999728459,0.0034596377443705402,5,5,0,38;39;41;42;48,38;39;41;42;48,
main29_s009,4.0,2.0,65.0,6,True,,3.96026592452446,2.0120297256971895,80.41277658194235,0.04151519064445624,15.412776581942353,15.412776581942353,True,True,True,False,False,True,False,True,83,7.828000001609325,0.0014007505217805594,6,6,0,34;35;36;37;46;47,34;35;36;37;46;47,
main29_s010,4.0,3.0,250.0,3,True,,3.932155447329477,2.869221689804374,92.32023664572304,0.14732905261585966,-157.67976335427696,157.67976335427696,False,False,True,False,False,False,False,False,87,8.21449999784818,0.0009090728648638138,3,3,0,45;46;48,45;46;48,
main29_s011,4.0,4.0,220.0,5,True,,4.073889809667601,3.8852617112251964,222.65938137247724,0.13647189778003568,2.6593813724772417,2.6593813724772417,False,False,True,True,True,True,False,True,95,9.079800001927651,0.0011388891155665812,5,5,0,42;43;45;46;35,42;43;45;46;35,
main29_s012,5.0,1.0,115.0,6,True,,4.945065434861856,0.9729569041143786,120.53525594052648,0.0612301844027589,5.535255940526497,5.535255940526497,False,True,True,False,True,True,True,True,97,10.154899999179179,0.01136081000325886,6,6,0,36;37;38;40;41;49,36;37;38;40;41;49,
main29_s013,5.0,2.0,115.0,6,True,,4.780216885392428,1.9171195345557581,68.5581918148655,0.23489101519398156,-46.441808185134505,46.441808185134505,False,False,False,False,False,False,False,False,36,3.9805000014894176,0.00315343926971776,6,6,0,36;37;38;39;40;49,36;37;38;39;40;49,
