group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,fixed_heading_deg,tag_id,camera_role,measured_distance_m,predicted_distance_m,residual_m,residual_cm,weight
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9531249999999996,3.0062500000000005,90.0,39,front,2.5,2.4941253633538545,0.005874636646145515,0.5874636646145515,1.0
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9531249999999996,3.0062500000000005,90.0,46,rear,2.848,2.850780389318862,-0.002780389318862042,-0.2780389318862042,0.5
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.009375,3.0062500000000005,180.0,40,front,2.425,2.438569396823678,-0.013569396823678304,-1.3569396823678304,1.0
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.009375,3.0062500000000005,180.0,41,front,1.894,1.8865631988155072,0.007436801184492747,0.7436801184492747,1.0
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.009375,3.0062500000000005,180.0,42,front,1.769,1.7532029840052747,0.01579701599472516,1.579701599472516,1.0
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.009375,3.0062500000000005,180.0,43,front,2.136,2.1533394305415485,-0.017339430541548406,-1.7339430541548406,1.0
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.025,3.0,270.0,37,rear,2.156,2.1988292339333677,-0.04282923393336757,-4.282923393336757,0.5
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.025,3.0,270.0,38,rear,2.127,2.1614000092532617,-0.03440000925326192,-3.440000925326192,0.5
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.025,3.0,270.0,44,front,2.874,2.8728470199438045,0.0011529800561955739,0.11529800561955739,1.0
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.025,3.0,270.0,45,front,3.141,3.1511981848179587,-0.010198184817958644,-1.0198184817958644,1.0
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.025,3.0,270.0,46,front,2.849,2.8736823067277286,-0.02468230672772842,-2.468230672772842,1.0
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.025,3.0,270.0,47,front,2.906,2.8948661454374705,0.011133854562529688,1.1133854562529688,1.0
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.025,3.0,270.0,48,front,3.178,3.2092444593704603,-0.031244459370460387,-3.1244459370460387,1.0
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.025,3.0,270.0,49,front,3.747,3.738268315677728,0.008731684322271782,0.8731684322271782,1.0
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.25,0.0,36,front,1.669,1.6590132609476032,0.009986739052396887,0.9986739052396887,1.0
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.25,0.0,40,rear,1.798,1.6861568728917247,0.11184312710827538,11.184312710827538,0.5
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.25,0.0,41,rear,1.732,1.715553846429776,0.016446153570224054,1.6446153570224054,0.5
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.25,0.0,56,front,7.384,7.300755097933363,0.08324490206663704,8.324490206663704,1.0
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.25,0.0,57,front,7.133,7.161105012496325,-0.02810501249632491,-2.810501249632491,1.0
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,3.2,3.85,90.0,38,front,1.21,1.4148939889617174,-0.2048939889617174,-20.48939889617174,1.0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9906249999999996,4.0125,180.0,39,front,1.745,1.7355007607676232,0.009499239232376944,0.9499239232376944,1.0
