camera_role,n,used_in_solution_rate,useful_dist_angle_rate,useful_dist_angle_yaw_rate,distance_min_m,distance_max_m,distance_mean_m,abs_dist_err_mean_m,abs_dist_err_median_m,abs_dist_err_p90_m,abs_angle_err_mean_deg,abs_angle_err_median_deg,abs_angle_err_p90_deg,abs_yaw_err_mean_deg,abs_yaw_err_median_deg,abs_yaw_err_p90_deg
front,132,0.962,0.833,0.742,0.795,4.640,3.118,0.081,0.069,0.168,2.57,2.05,5.70,11.11,6.05,25.47
rear,30,1.0,0.933,0.933,0.591,3.140,1.818,0.037,0.037,0.069,4.89,4.85,7.73,7.55,4.20,17.80
