sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg
10,4.0,3.0,250.0,250.0,44,front,Y,3.449,3.554,-0.105,33.7,31.0,2.8,-45.9,-39.0,-6.8
10,4.0,3.0,250.0,250.0,45,front,Y,3.597,3.668,-0.071,21.2,19.1,2.1,36.1,39.1,-3.0
10,4.0,3.0,250.0,250.0,46,front,Y,3.098,3.157,-0.059,6.0,5.5,0.4,21.4,25.5,-4.2
10,4.0,3.0,250.0,250.0,47,front,Y,2.829,2.879,-0.05,-11.8,-11.6,-0.2,5.8,8.4,-2.6
10,4.0,3.0,250.0,250.0,48,front,Y,2.815,2.897,-0.082,-25.8,-30.5,4.7,-27.0,-10.5,-16.5
10,4.0,3.0,250.0,250.0,35,rear,Y,2.673,2.59,0.083,21.5,14.7,6.9,27.1,34.7,-7.6
10,4.0,3.0,250.0,250.0,36,rear,Y,1.736,1.747,-0.011,4.8,-2.9,7.7,15.0,17.1,-2.1
11,4.0,4.0,230.0,230.0,42,front,Y,2.967,2.999,-0.031,29.5,26.2,3.2,-33.3,-23.8,-9.5
11,4.0,4.0,230.0,230.0,43,front,Y,3.504,3.535,-0.031,12.8,10.9,1.9,-39.0,-39.1,0.1
11,4.0,4.0,230.0,230.0,44,front,N,4.235,4.252,-0.017,0.9,0.2,0.7,43.5,-49.8,93.3
11,4.0,4.0,230.0,230.0,45,front,N,4.393,4.489,-0.096,-8.9,-9.3,0.4,-32.3,30.7,-63.1
11,4.0,4.0,230.0,230.0,46,front,Y,3.994,4.085,-0.091,-18.8,-20.8,2.0,17.7,19.2,-1.5
11,4.0,4.0,230.0,230.0,47,front,Y,3.789,3.879,-0.09,-27.2,-34.0,6.8,-25.9,6.0,-31.9
11,4.0,4.0,230.0,230.0,36,rear,Y,0.804,0.841,-0.037,5.1,-4.2,9.4,35.5,35.8,-0.2
12,5.0,1.0,265.0,265.0,48,front,Y,0.969,0.975,-0.005,28.2,24.9,3.4,29.4,29.9,-0.4
12,5.0,1.0,265.0,265.0,49,front,Y,0.96,0.96,0.0,-26.6,-33.3,6.7,-36.1,-28.3,-7.8
13,5.0,2.0,95.0,95.0,33,front,Y,3.895,3.965,-0.07,43.3,42.5,0.8,48.6,37.5,11.1
13,5.0,2.0,95.0,95.0,34,front,Y,3.404,3.465,-0.061,32.2,29.8,2.3,30.8,24.8,6.0
13,5.0,2.0,95.0,95.0,35,front,Y,3.138,3.185,-0.047,15.2,14.1,1.1,9.5,9.1,0.4
13,5.0,2.0,95.0,95.0,36,front,Y,2.666,2.724,-0.058,-5.1,-4.6,-0.5,4.0,-9.6,13.7
13,5.0,2.0,95.0,95.0,37,front,Y,3.365,3.445,-0.08,-18.2,-19.1,0.9,-26.2,-24.1,-2.1
13,5.0,2.0,95.0,95.0,38,front,Y,3.807,3.935,-0.128,-26.6,-31.9,5.3,-44.1,-36.9,-7.2
13,5.0,2.0,95.0,95.0,49,rear,Y,1.876,1.878,-0.002,-3.5,-8.7,5.1,-13.0,-13.7,0.6
14,5.0,3.0,265.0,265.0,46,front,Y,3.59,3.706,-0.117,36.4,34.9,1.5,43.1,39.9,3.2
14,5.0,3.0,265.0,265.0,47,front,Y,3.142,3.187,-0.045,23.0,21.8,1.2,24.7,26.8,-2.1
14,5.0,3.0,265.0,265.0,48,front,Y,2.807,2.886,-0.08,3.6,4.7,-1.1,3.5,9.7,-6.1
14,5.0,3.0,265.0,265.0,49,front,Y,2.814,2.881,-0.067,-14.9,-14.1,-0.8,10.7,-9.1,19.7
14,5.0,3.0,265.0,265.0,50,front,Y,2.933,3.004,-0.071,-27.6,-32.9,5.3,-38.0,-27.9,-10.1
14,5.0,3.0,265.0,265.0,35,rear,Y,2.21,2.182,0.028,14.3,8.1,6.2,-7.7,13.1,-20.8
14,5.0,3.0,265.0,265.0,36,rear,Y,1.724,1.729,-0.006,-15.8,-20.7,4.9,-2.3,-15.7,13.3
15,5.0,4.0,150.0,150.0,36,front,Y,0.795,0.823,-0.029,33.3,29.9,3.4,-37.8,-30.1,-7.8
15,5.0,4.0,150.0,150.0,40,front,Y,3.696,3.812,-0.116,-19.1,-19.8,0.7,14.4,10.2,4.3
15,5.0,4.0,150.0,150.0,41,front,Y,3.627,3.767,-0.139,-28.4,-35.0,6.6,-30.5,-5.0,-25.5
16,6.0,2.0,95.0,95.0,32,front,Y,3.873,3.941,-0.068,41.1,42.1,-0.9,44.4,37.1,7.4
16,6.0,2.0,95.0,95.0,33,front,Y,3.416,3.449,-0.032,29.4,29.2,0.1,28.9,24.2,4.7
16,6.0,2.0,95.0,95.0,34,front,Y,3.107,3.178,-0.071,11.8,13.2,-1.4,8.7,8.2,0.4
16,6.0,2.0,95.0,95.0,35,front,Y,3.124,3.184,-0.06,-6.9,-3.9,-2.9,-7.1,-8.9,1.9
16,6.0,2.0,95.0,95.0,36,front,Y,2.954,3.054,-0.1,-22.9,-23.5,0.5,-33.3,-28.5,-4.8
17,6.0,4.0,280.0,280.0,47,front,N,4.535,4.56,-0.025,43.5,42.5,1.0,-46.9,32.5,-79.4
17,6.0,4.0,280.0,280.0,48,front,Y,4.075,4.128,-0.052,33.7,31.3,2.4,27.7,21.3,6.4
17,6.0,4.0,280.0,280.0,49,front,Y,3.881,3.886,-0.006,20.1,18.3,1.8,-17.3,8.3,-25.5
17,6.0,4.0,280.0,280.0,50,front,Y,3.608,3.677,-0.069,4.0,3.9,0.1,-2.3,-6.1,3.8
17,6.0,4.0,280.0,280.0,51,front,Y,3.743,3.806,-0.063,-12.7,-12.9,0.2,-25.6,-22.9,-2.8
17,6.0,4.0,280.0,280.0,35,rear,Y,1.178,1.227,-0.049,-6.9,-13.4,6.5,-23.1,-23.4,0.3
18,7.0,1.0,20.0,20.0,31,front,Y,4.1,4.021,0.079,-24.2,-27.9,3.6,44.2,42.1,2.1
18,7.0,1.0,20.0,20.0,52,front,Y,1.719,1.684,0.035,43.5,45.6,-2.1,-68.3,-64.4,-4.0
18,7.0,1.0,20.0,20.0,54,front,Y,3.362,3.163,0.198,24.8,25.6,-0.8,15.6,5.6,10.0
18,7.0,1.0,20.0,20.0,55,front,Y,3.337,3.13,0.207,5.4,6.9,-1.4,-11.4,-13.1,1.8
18,7.0,1.0,20.0,20.0,56,front,Y,3.673,3.506,0.167,-10.6,-9.6,-1.0,-27.2,-29.6,2.4
18,7.0,1.0,20.0,20.0,57,front,Y,4.217,4.106,0.111,-20.6,-22.1,1.5,-41.6,-42.1,0.5
19,7.0,2.0,60.0,60.0,31,front,Y,3.537,3.35,0.187,26.7,24.4,2.3,53.3,54.4,-1.0
19,7.0,2.0,60.0,60.0,32,front,Y,3.425,3.426,-0.001,-8.9,-6.9,-2.0,20.0,23.1,-3.1
19,7.0,2.0,60.0,60.0,33,front,Y,3.107,3.175,-0.068,-21.9,-23.1,1.2,17.4,6.9,10.4
19,7.0,2.0,60.0,60.0,34,front,Y,3.1,3.205,-0.104,-31.0,-40.4,9.4,-36.2,-10.4,-25.8
19,7.0,2.0,60.0,60.0,57,front,Y,3.715,3.522,0.192,32.7,30.7,1.9,-36.8,-29.3,-7.5
19,7.0,2.0,60.0,60.0,58,front,Y,3.68,3.492,0.188,13.2,10.8,2.4,-39.8,-49.2,9.4
19,7.0,2.0,60.0,60.0,49,rear,Y,2.367,2.378,-0.011,13.2,9.5,3.7,36.2,39.5,-3.3
19,7.0,2.0,60.0,60.0,50,rear,Y,1.703,1.739,-0.036,-9.3,-11.1,1.9,5.7,18.9,-13.2
20,7.0,3.0,315.0,315.0,51,front,Y,2.564,2.561,0.003,34.4,34.9,-0.4,-31.2,-10.1,-21.1
20,7.0,3.0,315.0,315.0,52,front,Y,3.1,3.079,0.021,13.8,15.2,-1.4,-30.6,-29.8,-0.8
20,7.0,3.0,315.0,315.0,53,front,N,3.929,3.88,0.048,-0.1,2.5,-2.6,37.4,-42.5,79.9
20,7.0,3.0,315.0,315.0,54,front,Y,4.001,3.881,0.12,-13.2,-9.5,-3.6,33.3,35.5,-2.2
20,7.0,3.0,315.0,315.0,55,front,Y,3.467,3.299,0.168,-23.1,-23.1,-0.0,24.3,21.9,2.4
20,7.0,3.0,315.0,315.0,56,front,Y,3.231,3.068,0.162,-31.5,-41.1,9.6,32.8,3.9,28.9
21,7.0,4.0,290.0,290.0,49,front,Y,4.13,4.156,-0.026,40.8,42.2,-1.4,35.9,22.2,13.7
