sample_uid,observation_uid,tag_id,camera_role,pass1_estimated_x_m,pass1_estimated_y_m,pass1_estimated_heading_deg,measured_distance_m,predicted_distance_m,distance_residual_m_signed,distance_residual_sigma_signed,distance_residual_sigma_abs,measured_angle_deg,predicted_angle_deg,angle_residual_deg_signed,angle_residual_sigma_signed,angle_residual_sigma_abs,gt_distance_error_m,gt_angle_error_deg,gt_yaw_error_deg,measured_yaw_deg
main29_s004,main29_s004_o022,47,front,1.9339773752528007,4.013788258905508,288.78697281274094,4.306,4.189809308734728,-0.11619069126527215,-2.323813825305443,2.323813825305443,-5.5,-4.038150182559775,1.4618498174402248,0.4872832724800749,0.4872832724800749,0.154,-3.5,38.2,16.1
repeat10_s005,repeat10_s005_o028,40,front,4.931960886954405,1.0372665166132353,115.53769842849279,5.048,5.179512325835903,0.131512325835903,2.2006221204684917,2.2006221204684917,-19.8,-20.18306655592835,-0.3830665559283375,-0.1276888519761125,0.1276888519761125,-0.206,1.2,-2.8,41.2
main29_s012,main29_s012_o075,40,front,4.960526216168129,0.9799896625281879,116.63089807192785,5.113,5.239645486255143,0.12664548625514271,2.119184317812972,2.119184317812972,-19.0,-18.848721868602127,0.1512781313978735,0.050426043799291165,0.050426043799291165,-0.142,1.9,-1.3,42.7
repeat10_s005,repeat10_s005_o031,49,rear,4.931960886954405,1.0372665166132353,115.53769842849279,0.897,1.0009586401177129,0.10395864011771283,2.0791728023542566,2.0791728023542566,-2.5,-4.147318372321024,-1.647318372321024,-0.549106124107008,0.549106124107008,-0.039,-0.3,-0.8,-28.0
main29_s004,main29_s004_o023,48,front,1.9339773752528007,4.013788258905508,288.78697281274094,4.522,4.637788850376324,0.11578885037632336,1.937518052564096,1.937518052564096,-15.6,-14.839680349396986,0.7603196506030088,0.2534398835343363,0.2534398835343363,-0.068,-2.6,-2.2,-35.2
repeat10_s006,repeat10_s006_o037,40,front,4.924392094801086,2.0081467535196103,114.60959175065123,4.465,4.549312279459293,0.08431227945929276,1.6862455891858552,1.6862455891858552,-25.9,-29.84321071258023,-3.9432107125802247,-0.9294236781709717,0.9294236781709717,-0.15,4.0,-77.8,-42.7
main29_s001,main29_s001_o004,38,front,2.012496119636617,1.0195541093616312,59.772944436097625,4.09,4.167446867471515,0.07744686747151519,1.5489373494303038,1.5489373494303038,-21.9,-22.03515586471977,-0.13515586471976349,-0.04505195490658783,0.04505195490658783,-0.099,-0.2,8.1,16.4
main29_s001,main29_s001_o006,45,rear,2.012496119636617,1.0195541093616312,59.772944436097625,0.833,0.9054528273718507,0.07245282737185077,1.4490565474370154,1.4490565474370154,-9.3,-10.962329802676095,-1.6623298026760835,-0.5541099342253611,0.5541099342253611,-0.05,1.8,-7.6,11.3
main29_s012,main29_s012_o078,49,rear,4.960526216168129,0.9799896625281879,116.63089807192785,0.868,0.9369648199254257,0.06896481992542569,1.3792963985085138,1.3792963985085138,-2.8,-3.1838010227822906,-0.38380102278227923,-0.12793367426075974,0.12793367426075974,-0.067,-0.6,-1.8,-29.1
repeat10_s002,repeat10_s002_o010,39,rear,2.004288978393428,3.976850621989622,288.34857141089714,1.117,1.1851376718578635,0.06813767185786346,1.3627534371572692,1.3627534371572692,3.3,3.20122191516694,-0.09877808483307149,-0.0329260282776905,0.0329260282776905,-0.045,-1.6,-0.5,-15.6
main29_s022,main29_s022_o141,51,rear,8.023291241141365,1.0229822690929415,40.06169889141635,0.654,0.7173164971412509,0.06331649714125087,1.2663299428250174,1.2663299428250174,-9.1,-9.224717843965664,-0.12471784396566932,-0.041572614655223106,0.041572614655223106,-0.031,0.4,-3.3,37.1
repeat10_s006,repeat10_s006_o035,38,front,4.924392094801086,2.0081467535196103,114.60959175065123,3.93,3.8681407993343733,-0.06185920066562689,-1.2371840133125378,1.2371840133125378,-12.8,-11.277928162213186,1.5220718377868252,0.507357279262275,0.507357279262275,0.01,-1.1,1.4,-35.4
main29_s017,main29_s017_o112,51,front,6.092886903515829,4.000823099971043,261.5240984759327,3.727,3.7888513567500803,0.061851356750080466,1.2370271350016093,1.2370271350016093,-26.4,-30.37630032141658,-3.9763003214165735,-0.9372229737693026,0.9372229737693026,-0.097,6.9,-12.3,-35.5
main29_s013,main29_s013_o084,40,front,4.886582267306994,1.958184639452872,115.13396871044469,4.486,4.547784328276993,0.06178432827699343,1.2356865655398686,1.2356865655398686,-25.2,-28.52420863667774,-3.324208636677753,-0.7835234896912424,0.7835234896912424,-0.129,4.8,-76.6,-41.5
repeat10_s010,repeat10_s010_o064,58,rear,9.03376684598997,3.97189022827876,244.34233154704305,0.739,0.8006374849380132,0.06163748493801324,1.2327496987602649,1.2327496987602649,10.8,10.003011717517552,-0.7969882824824595,-0.1878519396898556,0.1878519396898556,-0.059,-3.1,-5.6,-56.7
main29_s012,main29_s012_o073,37,front,4.960526216168129,0.9799896625281879,116.63089807192785,4.433,4.372854954347926,-0.06014504565207357,-1.2029009130414714,1.2029009130414714,7.6,8.801835543234688,1.2018355432346937,0.4006118477448979,0.4006118477448979,0.067,1.0,3.3,-15.1
main29_s029,main29_s029_o175,50,front,9.06981464455596,4.016759168985723,246.21582954942085,4.468,4.52811160863694,0.060111608636939984,1.2022321727387997,1.2022321727387997,11.0,11.889249468705884,0.8892494687058843,0.2964164895686281,0.2964164895686281,-0.006,1.0,-5.6,29.5
main29_s015,main29_s015_o100,35,rear,5.018093128283976,3.9672444107794367,245.55706065840047,1.182,1.2383766399918488,0.05637663999184883,1.1275327998369766,1.1275327998369766,-2.9,-3.4886072705012907,-0.588607270501285,-0.19620242350042835,0.19620242350042835,-0.032,-0.2,-2.4,19.9
main29_s008,main29_s008_o052,48,rear,3.962571965668051,0.9680107637358554,116.84483818358393,0.901,0.9570085683711598,0.05600856837115975,1.120171367423195,1.120171367423195,-5.9,-6.322051181149845,-0.42205118114983975,-0.14068372704994658,0.14068372704994658,-0.064,-0.4,-3.0,-33.4
main29_s013,main29_s013_o083,39,front,4.886582267306994,1.958184639452872,115.13396871044469,4.574,4.508689587678976,-0.06531041232102375,-1.0928522261091829,1.0928522261091829,-19.5,-19.939704694457134,-0.43970469445713434,-0.14656823148571144,0.14656823148571144,0.013,1.9,0.9,-45.5
repeat10_s007,repeat10_s007_o042,33,front,5.999390511338628,2.020262861701569,64.27765498267784,3.471,3.417517696592976,-0.0534823034070242,-1.069646068140484,1.069646068140484,-3.9,-1.7276809601350749,2.172319039864931,0.7241063466216436,0.7241063466216436,0.035,-2.7,-4.0,19.8
repeat10_s001,repeat10_s001_o005,45,rear,1.9652637672098614,1.0227527964679202,60.53334364417625,0.841,0.893822728407814,0.05282272840781399,1.0564545681562798,1.0564545681562798,-12.4,-13.066203088721636,-0.6662030887216304,-0.1570255738941627,0.1570255738941627,-0.041,-1.3,-10.8,8.1
